Youth (15-24) literacy rate (%). Total,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Sao Tome and Principe,,,,,,,82.3992187076122,,,,,,,,,,93.8499602368119,,,,,,,,,,95.415463788126,,,,,,,80.2031597275156,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,87.855607533538,,,,,,,,95.9131588190058,,,,95.8496913033027,,,,,,,98.02018
Senegal,,,,,,,,,,,,,,37.8661034038591,,,,,,,,,,,,,,49.1244901203781,,,,50.8516566084705,,,65.0149057851648,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.27081
Seychelles,,,,,,,,,,,,,97.6499861763893,,,,,,,98.8133140376266,,,,,,,,99.0647731208867,,,,,,,,,99.06477312
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.927608406231,,,,,,,61.04269
Singapore,,,,,,96.2881160771197,,,,,,,,,,98.9667021532182,,,,,,,,,,99.5045991128812,,,,,,,,,,99.7518247890803,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,99.7577366573204,,,,,,,,,,,,,99.82697,,,,,,,99.85048
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,85.1658534305842,,,,,,,,,,,,,,,,93.9051499112136,,,,,,,,,,,97.5707750553158,,,,98.782572970337
Spain,,,,,,,98.6419491992938,,,,,,,,,,99.5545611579448,,,,,,,,,,,,,,99.5377947505607,,99.5693367786391,99.5643081212966,99.5990019604349,99.5946317332356,
Sri Lanka,,,,,,,91.0433435048648,,,,,,,,,,,,,,,,,,,,95.5886326947921,,,,,97.4840636672306,,97.9818022463709,,98.157925300301,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,78.155587876882,,,,,,,,,,,87.28701
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8811406212312,,,,99.4164189199818,,98.3766429518871,
Swaziland,,75.4524423585668,,,,,,,,,,83.7482365060052,,,,,,,,,,,,,,91.8632446547165,,,,,,,,,,,93.73971
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,,,,,,,74.2764032870342,,,,,,,,,,,,,,,,,,,,,95.1888321564028,,92.4538117925048,,,,,,,95.28453
Tajikistan,,,,,,,,,,,,,,,99.7035807805538,,,,,,,,,,,99.8470626644326,,,,,,,,,,,99.8686
Tanzania,,,,,,,,,,,,,,81.7533027790549,,,,,,,,,,,,,,78.3960480541156,,,,,,,,74.560520505155,
Thailand,,,,,,96.8673494747551,,,,,,,,,,,,,,,,,,,,97.9753862943801,,,,,98.0509140825685,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5286835307306,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,74.4395711500975,,,,,,76.4529369709878,,,81.7359870985238,,79.8859071338326
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,99.8192735964554,,,,,,,,,,,,,,,,,,,,99.3087438741295,,,,,,,,,,99.4247560349255,,,,,
Trinidad and Tobago,,,,,,99.2194022374353,,,,,,,,,,99.3,,,,,,,,,,,,,,99.49171,,,,,,,99.56772
Tunisia,,,,,,,,,,74.2841222598225,,,,,,,,,,82.79433,,,,,,,,,,94.3389830508475,,,96.2996889554813,96.7942572891026,,97.1717231520919,
Turkey,80.0549223540323,,,,,84.6910792439033,,,,,90.9014242731336,,,,,92.543660131031,,,,,,,,,,,,,,95.6034975892784,96.1185546082014,96.181502603521,96.3623458433147,,97.8074689035658,98.224585353982,98.7093536513041
Turkmenistan,,,,,,,,,,,,,,,,,,,,,99.8104199175536,,,,,,,,,,,,,,,,99.83161
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,69.8007872359605,,,,,,,,,,,80.7911568688169,,,,84.0656479493164,,,,87.4088289410488,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8048551526765,,,,,,,,,,99.77537
United Arab Emirates,63.0476056536109,,,,,,,,,,82.4726355301172,,,,,,,,,,,,,,,,,,,,95.0064510896258,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,98.2962289868242,,,,,,,,,,98.6286123233902,,,,,,,,,,,98.5802398222131,,,,,,,,,,98.7125202019542,98.7591424673096,98.9681422328902,99.0494296577947,98.7841945288754,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,99.8743493089212,,,,,,,,,,,99.93913
Vanuatu,,,,,71.8295964125561,,,,,,,,,,,,,,,86.25324,,,,,,,,,,91.99186,,,,,,,94.60022
Venezuela,,,,,,,93.1117599701229,,,,,,,,,95.4390299833423,,,,,,,,,,,97.1993357153641,,,,,,98.3987803661009,,98.5332980225856,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,97.0465437797081,,,,,,,98.9418192957335,,99.0913816815493,99.0620569758227,99.1502199743742,99.2332559583828,99.2420374215656,99.3123215450296
Vietnam,,,,,95.025122616889,,,,,,,,,,93.7342554801714,,,,,,,,,,93.8823345285985,94.83651427726,,,,,,,,,,,97.07264
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,60.2221437230224,,,,,,,,,,76.9273,,,,,,,86.36829
Zambia,,,,,,,,,,,,,,,,66.3811556561319,,,,,,,,,69.457222110978,,,69.0888119953864,,,,,64.0496372275951,,,,
Zimbabwe,,,,,,,,89.0218547363365,,,,,,,,,,95.4113581173611,,,,,,,,,,,,,,,,,,,90.930701865719
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
