Male service workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Japan,51.4000015258789,51.9000015258789,52.4000015258789,52.7999992370606,53.0999984741211,52.9000015258789,53.5,54.2000007629394,53.9000015258789,54.2000007629394,54.5,54.4000015258789,54.0999984741211,54.5999984741211,54.5999984741211,55.0999984741211,55.2999992370606,55.4000015258789,56.0999984741211,56.2999992370606,56.7000007629394,57.4000015258789,57.9000015258789,58.2999992370606,59,59.0999984741211,59.2999992370606,59.2999992370606
Jordan,,,,70.0999984741211,,,74.0999984741211,75.0999984741211,,,,,,,,,,,,,71.0999984741211,72.0999984741211,72.3000030517578,72.5,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,42.5,,40.7999992370606,41.4000015258789,40.2999992370606,41.0999984741211,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,81.0999984741211,,,,,,,
"Korea, Rep.",36.9000015258789,37.7000007629394,38.7000007629394,39.0999984741211,40,42,42.5999984741211,42.5,43.2000007629394,43.9000015258789,44.7000007629394,45,46.7000007629394,48.4000015258789,49.0999984741211,49.5999984741211,50.7000007629394,51.7999992370606,54.9000015258789,56.0999984741211,55.9000015258789,57,57.7000007629394,57.5999984741211,58.2999992370606,58.5,59.0999984741211,59.9000015258789
Kuwait,,,,66.4000015258789,,,,,65.3000030517578,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,35.4000015258789,35.5999984741211,35.5999984741211,34.2000007629394,35.2999992370606,35.5999984741211,35.0999984741211,37.5999984741211,38.4000015258789,37.7000007629394,37.4000015258789,
Laos,,,,,,,,,,,,,,,,14.3999996185303,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,45.5999984741211,43.5,45.0999984741211,47.7999992370606,49,46.9000015258789,46.7000007629394,46.9000015258789,47.7000007629394,49,47.7000007629394,47.2000007629394
Lesotho,,,,,,,,,,,,,,,,,21.6000003814697,17.7999992370605,,12.8000001907349,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,42.0999984741211,42.5,43.4000015258789,44,44.4000015258789,44.5,44.2999992370606,46.0999984741211,46.2999992370606,45.7000007629394,45.9000015258789
Luxembourg,,,,48.5999984741211,50.0999984741211,51.2000007629394,51.9000015258789,52.7999992370606,53.2999992370606,53.9000015258789,54.7999992370606,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,57.2999992370606,62.7999992370606,,65.5,65.8000030517578,71.5999984741211,69.5,74,74.5999984741211,69.0999984741211,71.8000030517578,73.3000030517578,72.1999969482422,73.1999969482422,74.0999984741211,75.0999984741211,72.9000015258789,72.1999969482422,72.6999969482422
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,16,,13.3999996185303,,
Malaysia,39.9000015258789,39.5999984741211,46,44,45.4000015258789,45.9000015258789,46.4000015258789,46.2000007629394,46.0999984741211,45.7000007629394,46.2999992370606,43.2000007629394,46,45.7000007629394,,45.5999984741211,45.7999992370606,45.5,45.7999992370606,45.9000015258789,45.4000015258789,48.2000007629394,48.5999984741211,49,50.0999984741211,50.2000007629394,49.5,50.7999992370606
Maldives,,,,,,,,,,,49.7999992370606,,,,,52.7000007629394,,,,,55.7999992370606,,,57.0999984741211,,,62,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,32.4000015258789,,,
Malta,,,,,,,,,,,,,,,,,,,,,60.2999992370606,60.7999992370606,63.5,61.5,62.7000007629394,60.5,63.2999992370606,64.8000030517578
Marshall Islands,,,,,,,,,,,,,,,,,,,,55.7000007629394,,,,,,,,
Martinique,,,,,,,,,,,63.5999984741211,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,48.0999984741211,,48.7000007629394,46.0999984741211,50,51.2000007629394,51.2999992370606,51.7999992370606,,50.9000015258789,52.4000015258789,53.2999992370606,54.0999984741211,55.0999984741211,54.7000007629394,53.9000015258789
Mexico,,,,,,,,,,,38.7000007629394,41.4000015258789,,42,,44.9000015258789,46.7000007629394,45.9000015258789,47.4000015258789,45.7999992370606,47.2000007629394,48.0999984741211,49,49.9000015258789,50.2000007629394,47.2000007629394,47.2999992370606,49.7000007629394
Mongolia,,,,,,,,,,,,,,36.5999984741211,35.2000007629394,33.2999992370606,32.4000015258789,29.7000007629394,30.5,31,32.5999984741211,33.5,37.0999984741211,38.9000015258789,38.5999984741211,38.0999984741211,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,56.5999984741211,,65,,
Montserrat,,,,,,,,,,,,45.7999992370606,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,63.7999992370606,63.0999984741211,63,64.4000015258789,36.2999992370606,62.5,59.7999992370606,61.9000015258789,62.9000015258789,62.5999984741211,,65.1999969482422,39.4000015258789,40,39.0999984741211,39.5,40.7999992370606,
Namibia,,,,,,,,,,,,33.7999992370606,,,,,,42.5,,,49.4000015258789,,,,47.0999984741211,,,
Nepal,,,,,,,,,,,,19.6000003814697,,,,,,,,18.2999992370605,,25.3999996185303,,,,,,
Netherlands,54.7000007629394,,57.2000007629394,,57.0999984741211,,59,,59.5999984741211,59.2000007629394,59,59.7999992370606,59.7999992370606,60.4000015258789,61.2000007629394,61.5999984741211,61.5999984741211,61.2000007629394,62.5999984741211,63.2000007629394,63.5,63.5999984741211,64.4000015258789,64.5999984741211,61.5,61.2999992370606,,
Netherlands Antilles,,,,68.3000030517578,68.5,68.5,69,,,,,,64.9000015258789,64.5999984741211,65.1999969482422,64.4000015258789,65.4000015258789,66.6999969482422,68.4000015258789,,69.1999969482422,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,56.9000015258789,,,,,,,,,,,
