GNI per capita (constant 2000 US$),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cape Verde,,,,,,,,,,,,,,,,,,,,548.190320326441,605.780433802448,590.856912154964,621.292933272631,640.384241776545,686.883374859879,707.150726861542,740.375652576662,781.088364693123,824.170877313775,812.713055011807,803.90594439773,807.758132187766,842.169773395707,873.68093102683,911.306887782356,945.821051675478,998.291616270633,1057.60450187916,1154.7968499799,1201.11726555857,1274.19317034973,1299.12749450927,1346.79270723568,1378.90829777263,1421.64488001348,1533.37416012454,1687.66213461641,1757.63033478541,1817.77205564813,1856.0355134505,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.775845038327,253.424025661616,247.715958261791,226.689018208666,225.535667345421,227.132073637926,231.487205343466,,,,,
Chad,249,257.045700971846,247.750675547583,236.60041991328,232.96146169911,224.203824173183,224.521631073771,218.05992005512,228.991905598535,228.599198513224,217.985954385443,215.51252332485,192.580779784398,197.45631157706,211.051567546075,212.971830025678,212.711121327134,207.321042155338,158.326868793013,146.789576657365,145.566597844983,150.460928909312,169.831606393994,167.121629395186,198.092189833734,183.617765059256,173.546991081271,194.230851354948,196.616034393399,181.813100610038,193.348715690557,203.234346835474,164.544469260792,173.123000878703,173.454117420273,171.387212385037,174.722665309503,182.891248655877,175.647116527229,166.3256102264,179.167581392509,184.279540720408,175.134286766738,228.771099800874,243.01457640563,231.69494596647,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42957.4208147986,,,,,,,,,,,
Chile,1756,1819.57260463361,1872.34965312197,1877.99076683968,1826.2423344094,1973.43005503037,1991.60014049757,2028.33753304386,2054.68632089503,2072.18263042662,2252.00260518683,2201.39938542418,2062.50103934643,2118.2346747061,1810.90749552682,1856.53575240736,2110.28904347764,2112.9139833208,2262.05736779985,2402.84558000488,2452.15536997397,2096.00246899182,1967.2441817371,2060.06171194204,2127.48795864297,2248.41718868378,2414.54937002564,2548.17637075463,2801.25798380617,2898.88163128622,3079.78434358222,3432.37178675386,3632.37277921594,3732.65680258226,4089.17882376119,4352.45784418406,4580.36859370448,4701.12120299859,4578.46683916796,4690.89562206145,4802.66010558468,4823.34531413098,4868.7779550085,4977.21215840967,5120.59260751745,5096.2016256193,5362.29573749071,5767.22974516119,5694.39733813146,5930.13938829722,6310.68296186888
China,,,,,,,,,,,,,,,,,,165.047394672875,174.838422596552,186.349034446336,193.525812507848,208.521658858491,228.62311446383,260.174447713843,290.45228913284,310.490833436448,340.756120672386,373.303254923349,383.1438497292,392.80650676078,422.823907958491,476.210367331952,534.809350071884,598.68437937687,647.188831711301,705.611365646232,765.667136397364,813.413097383294,867.659665589866,937.563125976644,1005.72137815567,1094.83888942439,1203.37077474494,1320.86421947079,1453.97953169369,1637.73088188244,1868.03333806764,2039.93111651857,2211.50687716389,2416.57984319005,2635.64787467494
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,1207,1234.29718260314,1230.80406265672,1275.98596385906,1264.56679562507,1297.54229028415,1299.7113168551,1363.37037521831,1402.55231104695,1443.46921398128,1499.49952695754,1575.29421751942,1652.67288364812,1717.78606412511,1700.82218783746,1744.92938691884,1788.77916397944,1898.3614432628,1964.1281020341,2006.39402779365,1995.01257715133,1933.30597975168,1910.58614007999,1922.61468571911,1921.90633188152,2009.14983517167,2060.49210540926,2116.13137553673,2119.86155732118,2202.14150462017,2225.71113701468,2302.74961118381,2334.94255491959,2464.98540113567,2548.35816410094,2544.22156337153,2582.34010922585,2564.23815748264,2415.14971114414,2465.72890965647,2459.27107897195,2474.5968570395,2512.82438224862,2602.76230899418,2680.9808600114,2818.79164672569,2961.72664477568,3008.78282400312,3021.82972799327,3089.38411252762,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.561089773221,,,,,,,,,,,
"Congo, Dem. Rep.",271,326.012707597744,332.999290535936,322.745843957327,318.495018570458,330.009604803297,317.550414272064,321.46029425608,340.994036438652,330.619170539118,340.794739717912,332.429995403598,349.92947466302,350.860603394579,323.002141874438,294.41486771451,285.546596865633,266.705404329024,259.046622935845,254.448354915796,251.533764566428,242.697972890653,240.119354065954,246.850681725247,234.927814021201,248.5254433355,230.557443731216,224.015651732083,216.182664153338,193.368300569383,170.483955757702,145.572044120058,124.375467333976,108.06409048414,102.928343691859,107.913375721732,98.9395823381131,95.9886015098929,87.3981493357598,78.946144892258,75.5077210250676,78.519906168662,82.2552969789812,83.9202916542924,84.9367147326906,89.2486146795691,90.9408687562602,87.962975164411,93.3286995967294,97.1597015081036,99.5411776181508
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725.572576807614,,,,,,,,,,,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,1701,1758.80783397905,1785.13005187899,1789.97913676822,1899.42959656665,1986.17790455037,2035.5170029064,2146.36785801875,2220.48717089186,2332.87244562515,2433.29156640455,2534.66293486698,2678.04952266848,2770.58536855715,2734.90514591968,2815.11353736401,2998.67810220844,3083.37221397722,3134.44491230042,3047.9878943662,2723.20599450697,2317.44100471199,2509.44417687521,2640.31143726792,2612.97928038472,2707.34483044384,2820.21049530071,2837.74970744518,2898.09468665432,3014.44885215274,3041.12374158328,3241.25808092489,3398.42737944654,3515.71117090365,3542.06740139265,3499.23248018396,3586.29103376924,3733.78801282017,3595.80611750748,3749.94925511987,3858.82392302474,3916.3027539076,4073.56653087861,4169.51404828396,4354.31825516636,4692.79460601929,5004.66954938863,5076.25271488809,4923.44494284176,5093.23930578942,5249.89827430824
Cote d'Ivoire,575,551.546233928241,597.782940124842,684.13724859694,636.431313526055,679.396876764207,682.922059655462,741.408984942174,777.326783540891,827.889160740084,854.844096415872,861.8539104281,864.073002655655,869.513173022835,896.979227982928,966.627648489652,990.723429983474,1042.07011807377,1008.67502368285,867.451408938518,849.700891893075,808.669583618773,723.529601019906,691.173462059709,672.713119512648,686.080722237059,654.661582251493,638.006083679926,611.074365142624,587.728789156813,573.112152101522,557.035639362522,533.616676713759,528.073668639942,551.772799951879,587.681087993194,614.573131102792,629.369258406364,621.518791682472,585.889723107452,583.974622816475,567.014759857498,552.630590301428,557.828972833237,556.776285836608,549.857806735321,548.827702362329,551.684520538726,560.806820988569,563.04811748445,525.50498773885
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3896.66316592575,4280.46253349212,4506.44336031786,4625.70043001655,4458.277162244,4769.82990242224,4932.03304861936,5183.15014854437,5364.01674325186,5683.76647465269,5861.79706042558,6132.12112531253,6474.9720913393,6566.13561062572,6130.60403948353,6108.64220631225,6114.39383584611
