Physicians per 1000 people,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Egypt,0.391327828168869,,,,,0.434788525104523,,,,,0.52700001001358,,,,,0.535899996757507,,,,,1.0654000043869,1.36380004882812,1.36539995670319,,,,1.30359995365143,,,,0.7595000267,,,,1.8400000334,,2.02,1.6,,,2.118,,,,,2.43,,,,2.83,,
El Salvador,0.187354534864426,,,,,,,,,,0.2432000041008,,,,,0.241999998688698,,,,,0.325599998235702,0.386500000953674,,,0.351700007915497,,,,0.647300004959106,,0.8399999738,,,0.6600999832,,0.91,,1.071,,,1.211,,1.24,,,,1.5,,1.596,,,
Equatorial Guinea,0.16666667163372,,,,,,,,,,0.085900001227856,,,,,,,,,,,,,,,,,,,,0.2813000083,,,,,0.208,0.246,,,,,,,,0.3,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0188999996,,,0.03,,,,,,,,0.05,,,,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,2.93799996376038,,,,,3.35019993782043,3.40799999237061,3.48399996757507,3.48539996147156,3.49009990692139,3.5037999153,3.5355000496,3.263999939,3.2072000504,3.2000000477,3.191,3.148,3.114,3.11,3.206,4.475,3.16,,,,,3.33,,3.409,,,
Ethiopia,0.0087831011042,,,,,0.014246920123696,,,,,0.011599999852478,,,,,0.011599999852478,,,,,0.011300000362098,0.011300000362098,,,0.012699999846518,,,,0.030799999833107,,,,,,0.0285,,0.025,0.023,0.021,0.02,0.021,0.028,0.029,0.03,,,,0.022,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,0.494923859834671,,,,,,,,,,0.471199989318848,,,,,0.475699990987778,,,,,0.447899997234344,,0.493900001049042,,,,,,,0.35809999704361,,,0.472299993,,0.3763000071,,,0.476,0.357,0.337,,,,0.4529,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2.1,2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.6,2.6,2.6,2.6,,,3.3,3.319,2.735,,,
France,,,,,,,,,,,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.8,1.9,2,2.1,2.1,2.5,2.7,2.8,2.8,2.9,3,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.367,,3.41,3.736,3.497,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
