Ratio of young literate females to males (% ages 15-24),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,97.6084287185284,,,,,,,,,,98.8951549859485,,,,,,,,,,99.7221335453963,,99.3173543548259,,100.092939591574,99.9832935160235,99.577596470925,99.9157143990924,99.945845769152,99.7076854833087,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.018432066972,,,,,,,,,,,100.24985127905,,,,,,,,,100.327439107259,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.477687631565,,,,,,,,,103.004755765062,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,53.2562800435827,,,,,,,,,,,,64.4342855236967,,,,,,,,,,74.864967595848,,,,81.4613928567301,83.1850379874108,,
Mozambique,,,,,,,,,,,,,,,,,,,,,39.2709201274908,,,,,,,,,,,,,,,,,61.4826785064198,,,,,,67.2922827853177,,,,,,81.5511457075952,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,91.8460566824542,,,,,,,,,,,,,,,,,97.6237952468087,,,,,,,,,99.2332130138287,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.500889174289,,,,,,,,,,102.553060224715,,,,,,,,104.162987725493,,
Nepal,,,,,,,,,,,,,,,,,,,,,,33.1882213792092,,,,,,,,,,47.8772025683201,,,,,,,,,,74.6053100605773,,,,,,,,88.2873359524414,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,100.988726118725,,,,,,,,,,,,,100.206842659262,,,,,,,100.094307844876,,,,,,,,,,,,,100.272744615124,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.203366586119,,,,104.329562114456,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.987433744731,,,,44.2281060775563,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.8078110435101,,,,,,,,,,,,77.4490615786202,,,,,,83.5960442806544,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.770103278332,,,,,99.9906359219344,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,53.5537700394123,,,,,,,,,,,,,,,,,64.2062116924675,,,,,,,69.2594559172184,73.7913498077066,,77.1214803453701,,,
Palau,,,,,,,,,,,,,,,,,,,,,100.174252664243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,100.371595754298,,,,,,,,,,99.3541244019836,,,,,,,,,,99.0595607803993,,,,,,,,,99.6249523104118,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.6582814320118,,,,,,,,,108.648289893073,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,98.7001802001764,,,,,,,,,,99.4832781657778,,,,,,,,,,,,,,,99.9690694918798,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,93.0065503335726,,,,,,,,,,,,96.7013333335491,,,,,,,,,,,97.8047599940998,98.3317447866731,98.4214117563234,98.6654618730063,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,101.543669335481,,,,,,,,,,100.624250858295,,,,,,,,,,101.336061887001,,,103.208324273653,,,,,101.516773018434,,,
Poland,,,,,,,,,,,,,,,,,,,100.037160792948,,,,,,,,,,,,,,,,100.100200400802,,,,,,,,,,100.100200400802,,,,,100.103373949324,,
Portugal,,,,,,,,,,,,,,,,,,,,,,100.57112928196,,,,,,,,,,100.116414464554,,,,,,,,,,,,,,,,,,100.067896324479,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,101.482597443412,,,,,,,,,,102.047438700915,,,,,,,,,,,,,,100.228310502283,,,,,101.131619709432,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,103.053545557836,,,,,,,,,,,101.79185764687,,,,,,,102.797185482359,,,99.868901968155,101.643295730343,100.250132670223,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.85079880049,,,,,,,,,,100.03610641067,,,,,,,100.260810665319,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.058640644585,,,,,,,,,,,,,100.092492152868,,,,,,,100.124311955658,,
Rwanda,,,,,,,,,,,,,,,,,,,74.9152419125076,,,,,,,,,,,,,100,,,,,,,,,97.8799406888366,,,,,,,,,100.506671863301,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8284907183212,,,,,,,,,,,,,100.100704934542,,,,,100.159404209539,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,81.5434552695686,,,,,,,,,,95.8709720095507,,,,,,,,,,98.8315345720259,,,,,,,,101.000570959659,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.2824408898067,,,,,,,,95.5531455932619,,,,97.6510888376521,,,,,97.8046487418732,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0655219946462,,,,,,,,,,,,,,70.0492788882636,,,,76.6280091753763,,,75.726278562296,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9229879295864,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.712276036014,,,,,,,100.654312784018,,,,,,,,100.611290583655,,,,,,100.611290580874,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6654185579812,,,,,71.0516651646004,,
Singapore,,,,,,,,,,,,,,,,,,,,,99.7414670112761,,,,,,,,,,100.231897663512,,,,,,,,,,100.195672499102,,,,,,,,,100.115456072544,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.042153795705,,,,,,,,,,,,,100.100200400802,,,,,100.089197485156,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8888888888889,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,99.5630205775285,,,,,,,,,,,,,,,,100.845077165363,,,,,,,,,,,101.078811139606,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,100.00126403872,,,,,,,,,,100.029766384955,,,,,,,,,,,,,,,,99.9780079406661,100.075142097731,99.9182714665243,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,98.1633613338766,,,,,,,,,,,,,,,,,,,,101.110629148893,,,,,100.940080369786,,101.287947763971,,,
