Male industry workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Kazakhstan,,,,,,,,,,,,,,,,,,,,24.1000003814697,,22.5,22.3999996185303,23.2999992370605,23.8999996185303,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
"Korea, Rep.",32.2000007629394,31.1000003814697,31.7000007629394,33.0999984741211,34.7999992370606,34.9000015258789,35.5999984741211,37.2000007629394,37.7000007629394,38.2000007629394,39,40.0999984741211,40.9000015258789,39.7000007629394,39.9000015258789,40.0999984741211,39.4000015258789,38.7000007629394,34.4000015258789,33.5,34.5,33.7999992370606,33.7999992370606,34.4000015258789,34.2999992370606,34.0999984741211,33.7999992370606,33.2999992370606
Kuwait,,,,32.7999992370606,,,,,33,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,17.7000007629395,16.5,15.3999996185303,14.1000003814697,13,12.8999996185303,15.5,19,22.5,23,25.7000007629395,
Laos,,,,,,,,,,,,,,,,4.40000009536743,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,33.2999992370606,32.2000007629394,33.2000007629394,33.2999992370606,34,34.2999992370606,33.4000015258789,35.0999984741211,35.5,34.9000015258789,37.4000015258789,39.2999992370606
Lesotho,,,,,,,,,,,,,,,,,10.1000003814697,16.6000003814697,,8.89999961853027,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,34.7999992370606,35.0999984741211,33.4000015258789,33.5,33.7000007629394,34,34.5,35.7000007629394,37,39.7000007629394,41.2000007629394
Luxembourg,,,,46.7999992370606,45.7000007629394,44.7000007629394,44.2000007629394,43.5,43,42.5,41.7999992370606,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,40.7000007629394,36.7000007629394,,34.0999984741211,33.5999984741211,28,30.1000003814697,25.7000007629395,25.2999992370605,30.7000007629394,27.8999996185303,26.5,27.6000003814697,26.2999992370605,25.5,24.7000007629395,26.7999992370605,27.6000003814697,27.2000007629395
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,7.40000009536743,,5.09999990463257,,
Malaysia,25.6000003814697,27.6000003814697,25.8999996185303,27.6000003814697,26.3999996185303,25.6000003814697,23.8999996185303,22.8999996185303,23.2000007629395,25.3999996185303,27.2999992370605,25.6000003814697,31.2999992370606,32.0999984741211,,32.7999992370606,33.5999984741211,35.5999984741211,33.5,33.2000007629394,33.9000015258789,35,34.5999984741211,34.9000015258789,33.0999984741211,32.7000007629394,33.2999992370606,31.7000007629394
Maldives,,,,,,,,,,,18.3999996185303,,,,,16.8999996185303,,,,,16.3999996185303,,,17.7999992370605,,,19.8999996185303,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,17.7999992370605,,,
Malta,,,,,,,,,,,,,,,,,,,,,37.2000007629394,36.2999992370606,33.2000007629394,34.7999992370606,34.4000015258789,34.7999992370606,34.0999984741211,31.8999996185303
Marshall Islands,,,,,,,,,,,,,,,,,,,,15.6999998092651,,,,,,,,
