"GNI per capita, Atlas method (current US$)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Jamaica,,,,,,,,620,650,720,760,990,1030,1190,1380,1390,1460,1450,1320,1230,1310,1360,1350,1140,940,960,1180,1500,1710,1790,1770,1630,1810,1830,2130,2320,2540,2700,3040,3310,3300,,,,,,,4720,4510,4570,4760,5140
Japan,,610,690,800,890,1030,1200,1430,1660,1810,2090,2680,3580,4360,5060,5320,5840,7330,9290,10670,10940,10380,10070,10310,11360,13660,17810,24480,26650,27580,28300,30200,33190,36610,41350,42090,39250,33510,32870,35040,35600,33750,34010,37150,39140,38600,37660,37870,37610,42190,45130,47870
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,1060,1290,1590,2000,2130,2120,2000,2030,1990,2140,2300,2250,1640,1390,1120,1330,1370,1450,1560,1560,1580,1590,1650,1790,1840,1880,2000,2280,2490,2720,3030,3530,3900,4140,4380,4720
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,1310,1280,1340,1390,1390,1290,1260,1350,1520,1800,2300,2950,3860,4980,6150,6780,7440,8200,9730
Kenya,,100,100,110,110,120,120,130,140,130,160,190,200,230,250,250,280,330,400,460,450,400,340,320,310,340,380,410,400,380,350,330,270,260,270,340,390,440,440,420,400,390,410,460,520,570,650,730,780,800,810,840
Kiribati,,,,,,,,,,,,,,,,,,960,940,720,700,820,830,650,590,570,560,680,670,730,750,880,1050,1110,1180,1140,1420,1550,1370,1400,1370,1290,1390,1640,1780,1780,1820,1920,1820,2040,2060,2260
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,110,120,130,130,130,140,180,230,270,310,340,410,530,630,770,930,1240,1620,1810,1960,1960,2050,2190,2330,2700,3320,4230,5040,6000,6980,7700,8330,9270,10770,12070,12190,9200,9220,9910,10890,11830,12680,14830,16900,18920,21140,21430,19650,19720,20870,22670
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,2750,3080,3250,3350,3530,3640
Kuwait,,,,3560,3490,3640,3610,3630,3530,3310,3510,3610,4290,6480,9850,14590,13840,15300,19180,19470,21330,18870,17780,16730,14750,16930,15610,14520,17660,,,,,,20770,21420,22460,20920,18110,19290,19890,19770,23080,28150,34160,40110,45780,51430,45480,44730,46259.9027015284,47292.4080303292
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,450,370,360,390,390,360,300,280,280,290,340,400,450,500,610,770,860,840,900,990
