Net barter terms of trade (2000 = 100),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.81,98.7,95.48,91.86,88.69,88.69,86.72,83.24,90.09
Gabon,,,,,,,,,,,,,,,,,,,,,306.1728395062,357.5757575758,331.8181818182,326.6666666667,282.4561403509,228,142.1052631579,136.3636363636,139.3617021277,136.8421052632,156.6037735849,142.4528301887,134.5454545455,129.7619047619,118.8679245283,125.44,147.37,146.08,102.94,105.05,100,91.93,92.69,101.68,118.3,155.96,178.87,180.66,221.76,155.26
Gambia,,,,,,,,,,,,,,,,,,,,,182.3529411765,136.5384615385,128.8888888889,103.7037037037,82.4561403509,85.3333333333,98.5507246377,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93.4,96.43,101.23,96.42,88.66,82.35,87.36,83.43,85.52
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,95.71545,89.40731,92.70605,94.28936,92.14989,93.32063,107.3841,111.3744,111.3552,108.346,109.9187,107.4246,110.0359,111.0399,107.9369,107.4751,107.2472,104.8417,106.6834,107.0493,100,101.9013,104.4147,107.1532,107.1786,105.2436,102.2478,102.7866,100.2352,105.857
Ghana,,,,,,,,,,,,,,,,,,,,,209.5238095238,185.7142857143,125,170.3703703704,132,123.3333333333,135.4166666667,131.914893617,125.8426966292,105.7471264368,100,102.0202020202,95.0980392157,89.2156862745,94.2307692308,106.67,108.57,114,124.21,109.57,100,106.92,136.68,136.42,127.01,128.07,132.89,143.13,164.52,178.44
Greece,,,,,,,,,,,,,,,,,,,,,126.3882,120.7338,113.0883,111.6624,116.7998,115.6431,104.6042,101.3538,101.5664,103.1513,96.4691,93.21296,88.11105,87.45239,87.01934,89.64745,94.70927,94.35017,91.15167,92.26793,100,97.62202,98.43367,97.50188,99.314,94.6344,95.20657,95.5726,94.91531,90.80991
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,89.7,91.63,94.99,88.57,81.42,87.33,89.8,92.36,98.37
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.88,106.33,105.09,104.17,91.66,89.62,87.63,82.32,76.95
Guatemala,,,,,,,,,,,,,,,,,,,,,132.9268292683,119.2771084337,125,134.6153846154,101.0416666667,93.4782608696,156.5789473684,90.3614457831,142.5287356322,91.9540229885,115.2941176471,90.4255319149,95.9595959596,98.9583333333,106.1224489796,117.92,103.74,112.12,111.34,103.13,100,96.75,95.78,92.99,92.14,91.3,89.59,87.93,85.6,91.37
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,136.8421052632,122.3076923077,108.8888888889,120.5882352941,121.6216216216,116.8067226891,93.1972789116,86.0759493671,100,89.61,78.18,87.25,80,76.92,100,93.98,98.68,107.33,139.18,149.41,184.84,181.75,170.67,143.27
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.73,101.77,97.25,87.25,98.08,100,89.12,92.84,98.59,101.34,91.54,89.17,86.15,65.87,65.98
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,97.29,98.48,96.79,93.13,93.13,105.33,95.62,104.62,124.05
Haiti,,,,,,,,,,,,,,,,,,,,,224.6153846154,175.3623188406,169.014084507,169.7368421053,188.4615384615,203.8961038961,205.4794520548,201.4705882353,195.7746478873,130.6666666667,132.2916666667,110.752688172,104.7619047619,106.0240963855,110.5882352941,113.19,102.06,107.61,110.31,108.51,100,101.19,100.19,98.74,95.99,92.44,88.95,86.43,62.12,70.59
Honduras,,,,,,,,,,,,,,,,,,,,,113.1868131868,88.785046729,82.3008849558,89,102.0408163265,96,125,114.1176470588,83.8709677419,79.4117647059,78.021978022,83.6956521739,78.9473684211,87.3563218391,89.1304347826,96.33,89.62,110.78,113.4,106.32,100,94.83,91.98,87.98,87.17,87.17,83.17,81.61,76.65,81.93
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,100,97.8021978022,100,98.7804878049,100,103.6144578313,100,100,97.8947368421,100,100,100.9708737864,100.9615384615,101.9417475728,100,99.1,100,100.93,101.96,101,100,100.83,102.15,100.97,99.27,97.96,96.81,96.78,96.36,97.57
Hungary,,,,,,,,,,,,,,,,,,,,,117.4291,116.5237,113.8149,110.9581,108.5733,107.568,103.675,104.658,107.1824,110.2271,110.6995,99.1667,98.50126,101.5602,102.4702,104.2878,101.8705,103.1459,104.4927,102.7989,100,99.76787,100.1955,99.69804,98.98399,96.88063,95.50271,95.45465,93.84783,95.56723
Iceland,,,,,,,,,,,,,,,,,,,,,98.45242,100.3841,100.9422,96.61697,93.74697,94.77158,102.833,108.5822,103.968,97.70985,99.68893,108.9285,106.4581,100.9074,99.69381,100.4432,96.26262,96.84211,104.9529,104.6292,100,102.4551,103.7275,97.24958,95.1048,94.72925,101.2204,100.9651,94.79591,84.30532
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,99.04,113.59,117.58,105.21,100,97.83,88.62,96.23,86.17,105.2,110.78,114.17,100.31,99.43
Indonesia,,,,,,,,,,,,,,,,,,,,,,182.5581395349,182.1428571429,172.1518987342,173.0769230769,156.7567567568,108.4507042254,96.2025316456,81.8181818182,81.7204301075,94.8979591837,91.2621359223,88.5714285714,88.3495145631,84.9056603774,90.35,97.32,99.05,81.82,66.33,100,95.04,101.11,99.03,101.17,58.19,60.03,61.55,65.04,63.2
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,90.12,89.85,97.1,111.61,141.29,160.01,161.65,186.25,132.42
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,88.87,90.91,99.34,119.63,156.52,177.58,175.67,203.34,140.76
Ireland,,,,,,,,,,,,,,,,,,,,,107.6908,103.5808,106.641,110.8334,109.1305,110.9294,115.8013,115.8013,116.4407,116.677,111.5008,108.1904,107.6828,110.0413,106.0001,103.9491,104.928,105.6048,105.9735,103.2235,100,102.0498,104.0572,103.4793,101.9795,101.6162,98.67738,96.01028,92.15546,96.6038
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,80.50676,80.34025,83.03874,84.87002,83.37194,84.30966,87.57053,84.77315,89.22953,88.96149,89.46889,94.42911,95.04461,98.78671,95.30479,92.14529,92.74802,96.2723,98.8221,102.9935,100,97.84718,97.8765,96.47604,94.57219,95.19546,93.76157,91.679,92.94483,102.6736
Italy,,,,,,,,,,,,,,,,,,,,,78.82513,74.9971,76.8941,78.82083,77.57185,78.05115,90.42145,92.71481,93.58647,92.44136,95.11217,98.63799,99.94415,99.63779,99.2841,96.59487,100.725,102.2186,107.3824,108.4109,100,101.6375,103.6132,103.9212,102.7789,99.81873,95.81396,97.77207,94.69694,103.2717
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.03,95.55,94.52,99.26,86.07,89.95,102.64,83.95,77.11
Japan,,,,,,,,,,,,,,,,,,,,,79.78677,79.43584,76.50811,78.00858,81.25429,82.08858,108.616,112.3033,115.0337,111.7013,104.9759,108.1695,111.0445,113.9789,117.3055,114.9227,109.7055,104.0282,110.8115,109.8289,100,100.5638,100.9032,97.632,92.47034,83.31286,75.39542,71.67014,61.99663,74.36524
Jordan,,,,,,,,,,,,,,,,,,,,,87.962962963,83.0508474576,88.4955752212,89,86.6666666667,86.8686868687,100,90,98.8372093023,104.8780487805,93.6842105263,103.2258064516,105.6818181818,104.5454545455,112.9411764706,115.63,113.59,112.87,107,107.14,100,99.06,96.77,88.38,87.36,88.5,88.47,92.37,117.99,120.4
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,100.7246376812,88.1118881119,81.6176470588,77.3722627737,87.0229007634,76.6917293233,85.4961832061,77.8625954198,81.0606060606,79.3650793651,70.1492537313,78.6885245902,81.0344827586,94.8717948718,107.2289156627,103.88,108.25,114.02,109.91,98.08,100,93.86,90.46,90.38,90.17,90.74,89.31,85.08,83.17,94.68
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,77,74.43,72.21,67.55,59.82,64.49,64.9,57.36,60.94
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,102.78,98.27,92.53,87.36,84.68,82.36,78.65,76.52,83.88
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,114.2857142857,111.8644067797,117.4311926606,118.2692307692,119.8113207547,120.7920792079,131.5789473684,134.3137254902,138.0530973451,138.2608695652,133.3333333333,134.188034188,134.2105263158,132.4324324324,137.2727272727,138.46,125.89,121.9,117.24,114.94,100,95.56,94.93,89.04,85.35,79.04,73.83,71.96,62.28,68.55
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,90.51,88.94,101.38,121.83,164.53,185.66,190.07,233.23,156.1
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.1,102.18,100.76,95.7,95.18,118.57,114.72,110.81,103.87
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
