Per capita total expenditure on health at average exchange rate (US$),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Canada,1820.60901767,1828.83737107,1873.00280192,1848.57184811,1936.58787663,2089.21397323,2148.97613653,2249.06879926,2676.79495045,3036.64079748,3454.41686364,3912.3215538,4340.35597156,4622.62643606,4518.80735152,5222.11760045
Cape Verde,62.84431573,57.58117005,54.24267138,63.11761687,62.23116588,57.17702162,63.57555861,68.62929321,80.89749223,100.9372815,97.87470267,121.94175004,137.26832125,155.65526461,150.18677369,154.63489768
Cayman Islands,,,,,,,,,,,,,,,,
Central African Republic,12.24985396,11.34755568,10.83887648,10.20982088,10.15095729,9.97048116,9.84795732,10.67120768,11.85731278,12.91477911,12.53330777,13.65555313,16.71703066,18.49351603,18.26965283,18.19331692
Chad,11.93951938,12.226303,11.49603456,12.27848409,11.32896737,10.57307874,12.08947712,18.02517262,17.27952921,23.76588462,25.62827896,24.363092,28.34740527,28.03009406,28.44285764,30.64455299
Channel Islands,,,,,,,,,,,,,,,,
Chile,332.91934521,386.97298178,417.13501957,424.9264297,395.07251315,404.8301371,370.89851988,358.58608155,345.89237298,419.86081044,502.36391767,591.68707485,683.07534313,764.79717839,801.91497652,947.22032001
China,21.14391059,26.43450997,30.98088366,35.37775887,38.60333443,43.40621033,47.24784068,54.09233591,61.15801551,70.11874165,80.37652629,93.39413521,114.48075394,156.59905287,191.29410863,220.87664465
Christmas Island,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,
Colombia,186.30259731,230.03120219,270.32099705,238.84226632,206.03618478,184.42934854,178.10095346,174.81367115,174.91479044,205.63621876,253.61470656,272.66236787,336.59187281,376.99900347,391.85928973,472.15222319
Comoros,18.95915164,17.72332739,15.75892862,13.8508468,13.16934367,10.36120656,8.78019913,12.12543165,16.26736654,19.56455458,22.04707106,24.18664982,29.26288731,34.45666035,23.68747049,33.22185547
"Congo, Dem. Rep.",4.80033896,4.41114917,5.43813436,6.32155057,11.50030867,13.30563346,5.88624585,4.54407551,5.4578325,6.48525117,7.32550452,8.95783127,10.21864016,13.70413496,16.7295708,15.754249
"Congo, Rep.",24.29501398,25.65665091,23.38835704,23.87861305,23.49950973,21.68059924,21.02232209,22.35925675,26.96340286,34.21913702,41.45317696,50.15452945,60.21649344,80.40646768,66.96111028,72.29518609
