Total 40-59 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bulgaria,21.7073507102469,23.3097746366182,22.6290363590135,24.2014142891978,25.1531573986805,26.0435779816514,26.8111035883548,26.0573596696797,25.8079147295612,26.244614648157,27.369209639156,28.1653746770026,27.8874366497733,28.3904722566433,29.5039908779932,30.3761848341232,30.9833024118738,29.4907033144705,26.3229078613694,23.8684582743989,22.2737388724036
Burkina Faso,14.8738054398432,15.4322403118551,15.5720338983051,15.3019347273793,14.5889067237382,13.6378360868157,12.6384839650146,11.9059984419631,11.1842105263158,10.6733807266983,10.6723768736617,11.0472727272727,11.4836649471874,12.1186618977488,12.7977687348544,13.5000201312558,14.1635049037154,14.8997594226143,15.7549551641081,16.9005491153142,19.0213797663654
Burundi,14.6172638436482,14.6423248882265,14.3877551020408,13.9165628891656,13.2821387940842,12.3436650353453,11.5282150641802,11.0178169158304,10.8783664847738,11.689364461738,12.3609394313968,12.8896719978314,13.2848257246802,13.5373499096802,14.655423088107,17.0220390611002,19.8106092348948,21.782334384858,22.646708370569,22.6120720084716,22.7266603799003
Cambodia,14.0391254315305,14.0408837497419,14.0044166359956,13.9531097362423,13.8924917135034,14.0340989150345,12.6871202015711,12.4583281886653,12.6934984520124,13.1974343203585,14.3271416255192,15.5021991491816,16.4463633344404,16.9112252384446,16.8699875748334,19.691140041111,22.5660414904731,25.7504024240129,27.8534884773849,26.8058273537726,25.903513195495
Cameroon,15.7411553963278,15.6326530612245,15.5169225078602,15.249751902084,14.8727698157356,14.4153354632588,13.8671659874436,13.293367589685,12.8259625602877,12.6494023904382,12.6551963194051,12.6704449806408,12.686641948091,13.0007217610971,13.9190077213734,15.3529478415228,16.9428711278932,18.4225938699811,19.4287106401121,20.5234159779614,21.8435237110034
Canada,20.3974666957851,20.3368287257706,20.4210408755863,20.6717821027491,20.8233560508381,20.5816264799931,20.4429579475466,20.7685163687021,22.360203602758,24.7141930860321,27.794433943818,30.0854277578309,29.8633855595881,28.9586385664375,27.6064690026954,26.3793683230296,26.240834040006,26.4243567421165,25.919121976495,25.0465956418694,24.2063313369658
Cape Verde,16.4383561643836,15.9763313609467,16.751269035533,14.8471615720524,13.1086142322097,12.589928057554,13.1034482758621,11.9122257053292,10.1408450704225,9.52380952380952,10.2739726027397,13.3333333333333,15.9844054580897,17.3357664233577,19.0721649484536,21.0097719869707,23.0650154798762,25.7142857142857,27.2594752186589,27.6504297994269,26.7806267806268
Central African Rep.,17.535903250189,17.394416607015,16.7776298268975,16.3228155339806,16.0196828868234,15.6172533465543,15.2116402116402,14.5530939648587,13.8519276697373,13.5013501350135,13.4312416555407,13.4080936128718,13.4991119005329,13.7812056017861,14.3231604568433,15.3217391304348,16.6666666666667,18.0385556915545,19.5686785352439,20.9027108848218,21.9621251972646
Chad,16.7420814479638,16.5795369678865,16.2398921832884,15.8960411000302,15.3532608695652,14.6364949446317,13.8858754610545,13.1941784756798,12.5450376678677,12.4000561088512,12.2113782432754,11.9972053099112,11.8470230334637,11.7709842189525,12.057737495804,12.6633938605311,13.4977389841203,14.5116366897984,15.6518762568996,16.969696969697,18.3467741935484
Channel Islands,25.4901960784314,25.2336448598131,27.2727272727273,25.2173913043478,25,23.015873015873,23.6220472440945,23.134328358209,24.2857142857143,25.6944444444444,27.2108843537415,30.2013422818792,31.3333333333333,31.578947368421,30.5194805194805,28.2894736842105,26.4900662251656,24.5033112582781,25.1655629139073,25.8503401360544,24.6478873239437
