Urban population,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Brunei,35501,37761.239764,41059.235952,44574.277152,48338.180182,52380.82,56683.1655,61289.0516,66222.1774,71502.756,77148.024,80884.00188,84781.424706,88807.979872,92919.452778,97079.5043,100492.388256,103876.52426,107183.986208,110360.320488,113371.77,117944.507856,122461.060748,126980.698784,131591.783592,136363.006,141859.798416,147556.7548,153469.84983,159609.090816,165981.45125,172200.598864,178638.325756,185254.201716,191990.676,198802.63416,205499.55824,212247.75352,219038.25696,225867.5164,232731.89904,239509.521104,246301.91376,253125.436044,260006.395096,266960.76714,273789.430146,280679.405448,287618.75553,294587.758644,301571.5524,308352.940428
Bulgaria,2918659,3084392.15058,3250211.15652,3416489.86485,3585464.2416,3753817.0684,3886571.94648,4019905.62298,4158186.16246,4300668.64452,4440047.202,4554371.60598,4665864.4576,4780946.911124,4904324.08452,5019833.51004,5121117.800904,5227677.348276,5313521.563136,5400804.50856,5503013.235,5565661.41966,5626558.66872,5685136.98372,5743078.38468,5787617.3073,5818099.152054,5858728.052232,5897415.035412,5860541.406512,5786938.68953,5754163.19486,5716700.37996,5695088.7986,5699508.36091,5697800.33394,5687173.272604,5671224.251584,5651951.666292,5638695.295744,5629166.80628,5546426.0171,5461582.32348,5450437.45519,5440821.20603,5431784.421,5439203.6496,5447394.36388,5457283.5447,5465466.14205,5464167.75436,5463580.416
Burkina Faso,221872,237912.380316,246591.237632,255551.252976,264885.536576,274670.32492,285488.426436,296823.82702,308661.113276,320960.739792,333698.49032,347510.696238,361836.154792,376724.275778,392240.951784,408446.84078,449809.051772,493030.424832,538226.349108,585516.835566,635024.3484,702702.890084,773639.979412,848002.902912,925954.612538,1007662.14528,1058964.341666,1112570.465232,1168569.224516,1227051.591628,1288110.0474,1348696.48737,1411900.934434,1477786.021164,1546403.59495,1617827.40078,1722868.75712,1832691.356496,1947566.794492,2067811.596814,2193743.50128,2350415.329524,2514738.22722,2687130.368202,2868044.452224,3057922.97631,3269963.03326,3492524.74003,3725989.2087,3970704.42839,4227024.82238,4498006.03105
Burundi,58810,62030.700318,64172.500224,66371.212136,68653.972136,71036.42304,73540.74018,76165.603944,78816.2544,81355.73082,83691.54618,90493.133088,97170.707668,103873.154544,110874.736272,118435.30418,128822.682744,140024.03236,152127.284344,165175.89012,179200.56983,192234.259662,206230.88408,221136.378494,236847.24899,253249.66937,271995.39631,291436.79323,311338.02908,331379.90193,351283.8612,369715.0977,387857.16937,405540.57655,422582.82921,438915.61461,455484.33844,471338.84125,487425.6948,505143.58818,525628.65362,550637.602854,578918.431296,610250.266776,644061.044728,679821,719661.567092,761667.502858,805077.95652,848837.234758,892102.79058,937094.79616
Cambodia,559631,578344.5071,598418.71794,619331.07068,641499.07575,665114.0532,748277.7456,835756.19334,926315.5059,1017798.68546,1107997.9612,961452.31498,807623.71056,647045.16322,481131.98984,313012.98,371107.480216,423739.952064,473050.582848,524374.339968,583690.77596,661284.353422,754130.807564,861624.38531,979507.920752,1103307.61662,1176023.27666,1249413.6201,1323969.449,1401108.63139,1481833.52688,1568949.25174,1658639.3026,1750040.63595,1841989.66102,1933505.92463,2012862.99628,2090614.83527,2166612.49728,2240857.33034,2313389.94114,2366694.440624,2417624.923064,2466621.697348,2514293.984004,2561181.23876,2608835.92968,2656053.2151,2703432.71352,2751689.98458,2801353.8457,2861465.75549
Cameroon,751711,802609.268136,853607.847382,906958.239672,962732.1373,1021021.5728,1087885.00376,1157891.98632,1231242.62,1308158.47744,1388877.889,1523688.554016,1665342.103296,1814544.647712,1972201.062288,2139126.76392,2277988.850462,2424932.58186,2579480.92695,2740705.61696,2907915.95567,3074772.061688,3247303.276608,3426546.362156,3614091.823168,3811191.5436,3999188.70723,4195856.772,4400619.7199,4612470.26368,4830547.39083,5042058.429408,5259076.954404,5480814.835818,5706287.430702,5934819.67101,6167445.7583,6403010.732248,6642603.6528,6887885.091582,7140197.26798,7401023.367066,7669401.45836,7945480.431524,8229234.983004,8520687.63649,8818979.78004,9125355.840468,9440092.405608,9763502.406984,10095779.70168,10432814.0477
Canada,12375125,12758127.712,13140255.476,13532634.544,13938310.85,14343687.76,14724133.312,15104226.816,15464486.048,15792364.448,16132458.96,16373851.6592561,16635278.5362159,16917580.249452,17221673.7017119,17548556.99,17784640.852,17997343.128,18181359.192,18366181.702,18607801.59,18874498.8,19138247.588,19366313.856,19588984.916,19807754.68,20019751.184,20296200.6,20572200.66,20954900.956,21282903.62,21636020.7782341,21965565.7279763,22270291.8274565,22549034.6720055,22800719.5,23154645.1964,23508825.2864,23822278.1072,24130174.0608,24455142.166,24743305.9692,25006678.872,25297847.344,25593824.34,25889020.64,26128747.738216,26440863.252884,26782290.801576,27141472.03044,27490003.84274,27814430.231422
Cape Verde,32791,36593.575776,38152.007538,39835.27422,41604.441078,43429.59973,45323.692248,47244.762638,49233.99806,51356.581632,53646.81638,56382.40728,59315.2145,62215.6235,64752.56879,66687.84231,68006.678364,68650.641878,68959.798368,69462.292932,70565.05346,76030.581128,82330.69884,89283.73952,96457.05216,103471.515,113223.366,122788.85368,132398.20704,142527.03016,153610.398,160221.15488,167698.556784,175823.56416,184226.156784,192607.26528,200876.160324,209067.544764,217206.805446,225377.818448,233638.1253,241623.924368,249625.44284,257559.396094,265311.623488,272801.47387,279871.326526,286657.727718,293277.448734,299909.458082,306691.06167,313259.08481
Cayman Islands,,8277,8418,8524,8612,8701,8787,8875,9002,9216,9545,10004,10581,11253,11990,12764,13578,14432,15290,16110,16861,17524,18116,18702,19366,20172,21141,22253,23475,24752,26048,27363,28710,30074,31437,32792,34096,35361,36704,38284,40195,42501,45117,47815,50273,52268,53712,54679,55295,55763,56230,56729
Central African Republic,302157,317833.559606,334178.61554,351271.141836,369136.488448,387790.20922,408616.72704,430372.10656,452933.795352,476105.356314,499749.59552,526862.961504,554615.765616,583253.40568,613156.04944,644668.20072,666669.858536,689880.973824,714625.838196,741307.324768,770169.4262,800328.604504,832752.677472,866531.52256,900358.647232,933297.01416,962856.6165,991245.573384,1019438.789904,1048912.66896,1080731.63025,1109897.498514,1141045.755292,1173543.316134,1206423.409088,1238939.7101,1271035.435826,1302824.024434,1333990.075832,1364192.557738,1393247.85873,1421111.334728,1447842.546276,1474175.04185,1501131.655734,1529486.3796,1562394.470956,1596960.45012,1633149.126882,1670795.994528,1709764.30299,1754380.188022
