"Services, etc., value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4314224561809,64.7302757715667,63.1461978518464,63.1572408190572,64.2637517565055,65.1354906603525,66.3452852191909,65.8232614179751,67.436655053922,66.9060703146549,67.249822184181,70.0527592583168,71.3998024849881,69.7828185501966,71.7707551121629,74.7539922814201,74.9067752545018,75.1436646360484,75.0787774691619,75.286098009526,75.6251514616304,77.1332003132809,76.5256044383182,74.3338516445571,73.4937380813609,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,38.2183649425287,36.0881597796143,36.3395172413793,33.4951213592233,34.4036847697971,38.4615170940171,35.8299667671998,34.2359834112154,34.0304182509506,38.0029806259314,39.3376117535629,39.6244781495489,40.0687859103673,37.9550783923255,38.3753458246041,39.9369110370291,41.4181190627824,45.2329984754085,44.9516120148701,42.9730769230769,36.4830830174619,36.1372811058633,37.7806470545081,35.0643251312501,34.8785444948209,32.7441052623115,34.1470374458234,33.1849077580906,32.8106446780922,33.0502901525856,32.6753654592503,30.9535048017738,29.3626293807881,27.7893639207508,27.2172766238048,31.0312725564766,30.083585062552,30.4267711956144,24.6195953433055,30.6907787499251,31.413136148558,30.7431918909084,31.9122010533896,32.9134686694476,28.7110573653437,,
Chad,49.5989815293269,50.0690848675519,51.0061250051998,50.4745393140996,51.1667921124089,50.4941729686607,48.4465203247474,44.4582927547199,44.1166054891386,45.5092323389376,46.8711128863303,46.88737229284,46.9742540535979,46.5791905880504,45.736883078857,46.2166730210841,47.551929782914,51.2818718405727,51.1754193576156,48.7870229538963,45.9995767110896,48.5153269485259,48.1556524982433,47.5665394497396,50.353985466341,48.8756847358937,52.3858393076016,52.3305980915212,49.7337861182923,51.6735616185379,53.002942354287,50.2418030322304,51.2217146533605,53.4545650472222,50.2407157415333,50.5220298496909,48.066075779069,45.8187997947444,45.7126946946941,47.499893414898,46.3417556091902,44.6146539578211,45.7173887759872,42.0389487862621,29.4053018317336,27.291731483078,27.7515553379691,33.2192038433097,37.5274825046694,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,55.1788640507715,53.0439725055384,53.6882953311656,53.7154301994552,49.7672834162328,51.3661202185792,50.5791505791506,50.7462686567164,50.6437768240343,49.8529411764706,51.1340206185567,52.8991262907069,53.6250536250536,52.053352053352,44.953652760562,54.9617054481378,50.9804375354197,53.2723526177767,55.4053845954479,54.7495331248985,55.3033577122067,57.1230440810215,59.7772918837566,54.2438451363934,52.0038382676535,54.7781626786596,54.0417081026333,52.7972136393538,48.0416014959007,49.5483705213482,49.8284734378042,49.9890521908845,52.0139912861079,55.0019877709871,55.011667081015,55.471220346125,53.734972823205,54.0546296057282,56.419582699565,56.4534733626156,55.4907744149793,55.4870940553879,54.7651889214976,56.929404115712,54.0791283840727,52.0475222950136,47.2332547624831,47.2063169652031,50.8897533555847,53.0985234463629,53.856808206033,
China,32.9610175508525,31.948250876078,28.7113153800291,26.9027744742177,26.0819010328551,26.9681255246799,24.4271936865114,25.7568029300013,26.6670536603325,26.4513164225609,24.2908521759874,23.7924463708264,24.0856214120352,23.536329979257,23.3951032281866,21.8763590470966,21.724357510843,23.4454541574958,23.9355886316252,21.6339296096096,21.603309595213,22.0091602060675,21.8469391080888,22.4411761061264,24.7818437324676,28.6712502289264,29.1361735658673,29.6385990705389,30.5142639189513,32.063933605692,31.5430844315881,33.6850078607993,34.7555116266459,33.7231384024973,33.5695123646466,32.8626156986661,32.7722875214607,34.173831562686,36.2318428473259,37.7722269924284,39.0203376815059,40.455794829776,41.467442815975,41.2337060808868,40.3815418696684,40.5106168672703,40.9380583798882,41.8914931010989,41.8219684695488,43.4253048426404,43.1421079655635,
Colombia,,,,,,43.7744253062621,45.1344408475214,44.9121176851498,45.1356904099388,45.5416667793271,46.0162864942396,47.5849942921626,46.0983187134503,44.2410815437678,44.5124131710945,45.7806486734429,44.3880643973112,43.485198721724,45.7994582992756,47.744014455135,47.6006129946796,48.7148342870663,48.9266327071166,48.5344800392497,48.1909580512242,47.0059426313006,44.6524239312363,45.279337706836,45.0440266597607,45.1485012360992,45.3623571404967,45.4320467705501,49.2516414803262,50.1202284340246,52.4909443281722,53.023749766519,55.4152491698787,56.9236259049106,57.3654366879946,57.4391728205001,61.5920233810833,61.6644021697844,61.5207224282944,59.9563972986101,59.2788787550097,58.9582272916652,57.9574249199952,58.2569091965898,57.8388277903792,58.4938466825546,56.7357795364859,
Comoros,,,,,,,,,,,,,,,,,,,,,52.8167377496535,53.1705910601512,52.4126183798068,50.8212530120482,50.0489674666779,49.8133602896155,49.6445680903767,51.435591259517,51.1505633292534,50.800508703346,50.3143637805917,50.9751543874767,49.0490788838741,48.9307535641548,48.766014660444,47.1651384601207,47.1661841867197,47.1651982853327,47.1275825524905,47.1074701796034,39.9266614811298,38.3187870742952,38.2592548164847,36.733898668604,36.8662149785829,37.9900199273876,43.0096691987562,42.7992222250625,42.2083881188847,41.5813789884457,,
"Congo, Dem. Rep.",,,,,,47.6494185505113,47.9616575316743,48.0071115328426,44.1775427521189,43.2651964735662,38.5798140444923,43.4544815206314,46.7809993484081,42.0501558291694,41.007891462785,45.041808565513,46.4483335103635,50.162523026178,47.3912171831901,44.5462019221983,38.1801953734186,40.3470241907936,40.6640944859964,38.4614250622609,39.1407268298824,37.1320538094493,39.9641699226577,42.0018017813233,39.9780098460808,39.8423522481944,40.0449504453296,40.75999339099,34.1017312766212,31.7694333540514,26.9999995811958,26.0000002415763,33.8127713059952,30.3277119724791,31.6406509868858,28.4466002704722,29.7313522180506,20.0877972276743,27.4956016629425,27.4956005233832,28.2899195160683,27.5464745452432,26.5989748346206,29.1268508268546,31.8261205357199,33.0481316402775,,
"Congo, Rep.",59.2601915557999,61.4749252727886,62.3113983218451,61.2407131464885,61.0483272975111,61.9341600958518,61.070110701107,60.2739658003366,61.0932475884244,62.8446808967668,58.1578947368421,60.9921214231833,62.3188405797101,62.1688741721854,59.4748048261178,53.1021897810219,48.91846921797,52.9255319148936,54.4629349470499,49.2941098039216,41.7036598224195,41.2220786413144,39.5774647887324,38.0880880880881,36.494533124674,38.6382663782447,55.2643069896356,52.2744605293188,56.2168437025797,49.0864463936072,46.496062992126,52.6473266553922,52.9623905203503,53.4534929614524,44.2017183110061,44.6790380609733,39.1705778256521,33.9971970199897,42.9875662985827,30.3732836541779,22.5430752453653,28.7116145095933,30.4194973632952,32.5524165764347,28.6261096180471,23.5742984395926,20.5387621827537,22.4318602617,18.9093873520224,24.3771558957144,20.7924020642725,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,53.6396230451,52.696116437,55.040088714,54.8683593955,55.1581516858,55.4405713562,55.9894645419,57.835806992,56.4598649946,55.7595977413,56.7701173853,57.0565177633,56.7008163283,58.1155997436,58.0791027849,57.3658103932,54.3559290896,58.4593298779,61.4507212871,62.371211662,62.6281366388,61.848730861,62.115703366,61.9043929506,62.249475955,64.11205458,65.3565475295,66.9249630708254,
Cote d'Ivoire,38.9532929192886,39.7141932836951,40.1140325061037,41.132687207329,44.1348313105868,44.4542993971793,44.6740896086301,46.3588528887808,48.1399718352228,51.003109117439,49.6395723723168,49.4268680163296,50.4612758654362,51.2072936140554,58.4438436731376,54.7153997982795,59.1561905160824,60.5769237319686,57.6396674382622,56.5376112762494,54.3792735651749,54.8779389811025,54.5865871161271,56.6375006564163,56.3172453754754,53.716343601309,50.2560214636493,48.4528041897261,45.3098464700961,45.4998652937947,44.3309853313943,44.9996183026281,44.6834434324498,49.0309019793479,53.6965462296447,54.504396673634,54.9790330552319,53.0308187919228,52.8981183116521,53.8352088992368,50.9337036687476,51.210204266439,51.4231046333014,52.7969453712958,53.7466014022957,51.3184262770094,51.1925255710492,50.8602122274856,48.9042740025821,49.8576243295163,49.6682886110222,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3500425725833,54.544744591929,52.2427007775536,49.9738527070609,55.1824176373686,60.9126563054582,62.1565610842796,61.6248348573516,63.0587693815212,64.3973555985083,65.006271467405,65.191848285566,65.9054625948933,66.6242421836508,65.2722608337272,66.414674468101,66.7210548298326,67.6381562222381,66.9337924776887,68.2356661581278,67.2042790920365,
