Male 0-4 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bosnia and Herzegovina,15.1750972762646,15.8741258741259,14.9580915538362,14.4311377245509,11.333714939897,10.3204780010864,8.93970893970894,8.99262899262899,8.11825434068512,6.55940594059406,6.29567172568859,5.1676745464541,4.86456605859591,4.79375696767001,4.64063384267119,4.44316214656665,4.19373892498523,3.96341463414634,3.91661402400505,4.02374670184697,4.12371134020618
Botswana,15.6565656565657,19.1111111111111,19.8412698412698,20.1413427561837,19.578313253012,19.493670886076,19.3347193347193,18.6619718309859,16.7168674698795,14.5098039215686,12.9976580796253,11.7903930131004,11.5384615384615,11.1215834118756,10.4888888888889,9.76430976430976,9.09822866344605,8.61132660977502,8.33333333333333,8.01165331391114,7.6541459957477
Brazil,16.9299719887955,17.5159642401022,17.461805747063,17.3356146479409,15.537748841868,14.3947817063227,14.152684840294,13.8853653500103,12.1080397276128,10.63898840359,10.3183914321226,9.61974286336892,8.07717496387621,7.07311933693896,6.51077487391105,6.00282890838542,5.61427992192436,5.40168796901024,5.19575147829499,5.17632289012142,5.0614134542706
Brunei,12.5,18.1818181818182,19.5121951219512,18.1818181818182,16.6666666666667,15.2941176470588,14.4230769230769,13.5593220338983,13.3333333333333,12.4183006535948,10.9826589595376,9.89583333333333,9.13461538461538,8.26086956521739,8.13008130081301,7.69230769230769,7.55395683453237,7.24137931034483,6.9078947368421,6.66666666666667,6.74846625766871
Bulgaria,10.3476821192053,9.52126236961754,8.58380030565461,8.04878048780488,7.82280867106503,7.92556857339766,7.85778985507246,6.78499213659852,6.55624568668047,5.25158768930142,4.40686651293876,4.55635491606715,5.08006626173385,5.13845275478162,4.88454706927176,4.55805358792732,4.34083601286174,4.47510094212651,4.78199718706048,4.98899486426999,4.95582020745294
Burkina Faso,15.7943925233645,15.493581230633,16.4185277088503,17.1935235158057,17.8685612788632,18.3029908972692,19.2398350029464,19.72053783285,19.6222938737909,19.4561087782444,19.1481994459834,18.6806771745476,19.9434750552961,18.3480453972257,16.7289975371705,15.3623886347219,14.3335948085288,13.4539179342963,12.513010292587,11.5158885422725,10.5905915685604
Burundi,16.8224299065421,18.958818958819,18.5106382978723,18.252427184466,18.0958013010053,18.321043675553,18.4012066365008,19.1462383770076,19.501625135428,18.1878747501666,16.9054441260745,15.1304830649639,14.5489351519502,14.3227478937135,13.3438299547333,11.9476268412439,10.7634755993879,10.0256245996156,9.67156046617224,9.31668102210738,8.78035395801893
Cambodia,16.7970547630005,16.8251343530384,17.0650974623023,17.2526041666667,17.3862982153138,15.5774647887324,15.52,22.143605870021,19.7399783315276,17.9426274438151,14.368932038835,11.8892508143322,11.5541090317331,11.4505712866369,10.9701748371615,9.95426991385728,8.87330996494742,8.16365366317792,7.81676058898382,7.54601762191398,7.1344240175409
Cameroon,16.0804020100502,16.6251039068994,16.7105758374106,17.293485560779,17.7777777777778,18.2123482304314,18.4666666666667,18.6313973548016,18.0592105263158,17.2103004291846,15.9792510121458,15.9977515458123,15.7414829659319,14.680716923354,13.415833469923,12.3568414707655,11.583792454146,10.9733939000649,10.3481801057301,9.67631051274706,9.03552194962737
Canada,11.9833524684271,12.4482888303874,12.6046716615249,11.732012934519,8.66935483870968,7.8417825373521,7.52661752661753,7.38778054862843,7.20215554908244,7.01330942693607,5.93499144624293,5.46875,5.48671511974264,5.52251486830926,5.58194774346793,5.55383503664705,5.38984564990818,5.23054755043228,5.19213708736051,5.21905455870298,5.29218180201014
Cape Verde,11.9402985074627,16.6666666666667,20.6521739130435,18.5185185185185,16.5354330708661,17.1875,18.0451127819549,19.5945945945946,19.3939393939394,17.4603174603175,15.4589371980676,13.4782608695652,11.7886178861789,11.3636363636364,10.6761565836299,9.83050847457627,8.97435897435898,8.07453416149068,7.55287009063444,7.12166172106825,6.47058823529412
Central African Rep.,14.525993883792,15.2616279069767,16.1028416779432,16.5228113440197,16.815144766147,17.0707070707071,17.1146953405018,17.3271173271173,17.3731758165393,16.6056166056166,16.5397170837867,16.0377358490566,14.9638336347197,14.114733801073,13.254842385112,12.4339556181754,11.7105263157895,10.9461966604824,10.2571595558153,9.63888888888889,9.10538890363685
Chad,15.4166666666667,16.6919575113809,16.803840877915,16.9126691266913,17.2375690607735,18.0440097799511,18.7224669603524,18.9514563106796,18.9323607427056,18.8545506095832,18.8190110417667,18.7412024934647,18.1293706293706,17.4552135966927,16.7093383641019,15.7988376230578,14.7539255980609,13.6561376962361,12.6392459297344,11.7610210633466,10.9869511931368
Channel Islands,8.33333333333333,8,7.40740740740741,7.27272727272727,6.77966101694915,6.45161290322581,4.91803278688525,6.15384615384615,5.97014925373134,5.79710144927536,5.79710144927536,5.71428571428572,5.47945205479452,4.05405405405405,4.10958904109589,4.10958904109589,4.16666666666667,4.16666666666667,4.10958904109589,4.22535211267606,4.22535211267606
Chile,14.5370063060073,15.1252983293556,16.2476845726383,15.9803462798315,13.8171815488785,12.4562086414947,10.8411892675852,11.2617135207497,11.4009513579868,10.6260527793375,8.86324898387308,7.81346893215925,7.50442477876106,7.24686759227904,6.91154096935449,6.6203557520261,6.28530348156516,6.00646073087018,5.8289250424194,5.73697270471464,5.6701030927835
China,13.9256245054821,16.2894961571307,14.2066398292754,15.4422000354141,15.9821756926501,13.6297111745455,10.0114159542412,9.91726099257338,11.1440175284659,9.21494072914337,7.90340553122537,7.07226256564582,6.85060532722102,6.87729136109436,6.50769560187835,5.82969762791797,5.33910934254958,5.16710970796323,5.19456136309466,5.18111618962457,5.03293695747167
