Merchandise trade (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Congo, Rep.",66.8724266837619,65.0488803987748,66.9356952790636,61.1956148728454,61.4820572067033,57.6280241635753,52.3295567719557,55.7794037557198,53.7321988263666,46.7791883652763,32.829414568421,37.8992722595472,39.9764381766184,40.1719825072848,60.9596119574166,45.4333618394161,52.0786422628952,62.0910547994681,64.58057200706,65.64044514,87.4075996115427,63.0542015875946,81.457014084507,61.4128778778779,82.1028643714137,77.9774191388546,74.2994663595729,65.3678514236343,59.4338095599393,59.7588865506272,57.2397543307087,59.562643163783,55.7064778464709,85.9315073845547,89.8619650637241,87.0511550842643,113.984349619143,111.679573651988,104.899662811929,101.151017732699,91.7421557251908,97.9510071766831,97.8481376787496,100.347017473939,94.6942570878556,99.3688766929346,104.645552948295,97.2638819582346,95.7077786552269,93.8131605016579,92.4392976754434,
Costa Rica,38.3632758746891,39.0353920541397,43.0734737246306,42.7620438419609,46.5370172125135,48.9054326524452,48.5087700106529,47.8228372232909,49.7130226425641,50.9354048609625,55.6339582621994,53.3907495169635,52.7921764493605,52.3115663891565,69.605089744925,60.5498535864743,56.508544380993,60.1999632539458,57.6349583041642,57.7670363483686,52.6136353946555,84.4955413873513,67.4819943088734,46.8004916210842,45.7127058653398,43.238704364826,41.421016703355,43.5018346062647,43.8012103952624,45.6134084061032,46.4377634900369,48.5162646367266,49.9322876817856,63.7042355564204,63.0639900718756,63.8864693563846,67.8024585976071,71.650301128017,83.2935978241981,81.6443211191688,76.7381152012477,70.6552090626574,73.9237712978687,78.579544960802,78.3457910644478,84.4001484584142,87.6663540919715,84.6797367303957,83.3869548198657,68.9717375415665,64.0621322519633,
Cote d'Ivoire,52.7841470451608,58.5784712962094,54.1275875740712,52.5745199426608,57.7479095699811,56.2378016537546,55.4252694438688,54.5458014634782,56.973546596512,57.6545186807736,59.1325547435861,54.4535019629408,54.5236252823836,62.4216028370249,70.9973906566441,59.2666090783014,62.8131219998204,62.4627789382115,58.8200479959922,54.7516949157109,59.9628505415721,58.2854585862734,59.8668316028534,57.4573662713385,61.4184979619224,70.8829895949494,59.0601590319524,54.3145356174769,47.2735239926641,50.4025110042272,47.8786646711779,45.6414189459322,46.8662928818338,41.9553292534866,56.0405168042548,61.2448333050108,60.5307135347542,61.6948989439625,59.4324741112039,63.0194554391411,61.1518394967983,61.5808553865942,68.5491215320136,66.0018690247001,75.1480060311538,82.881717159669,82.3238127502744,77.5521092779077,78.0459336089466,77.9289392392053,79.6741724764501,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4966971318491,78.7026645949025,65.089505612145,53.838389594126,53.241523175861,55.6676037815594,50.9542175949781,52.4403224660104,57.2503173315006,59.9209315803157,58.9091085047131,59.7351891925564,60.027374820327,60.9820188898995,63.9433347613074,64.3844257141083,64.1386726042817,49.9344626751826,52.35803744658,
Cuba,,,,,,,,,,,41.4016832758779,32.4961823649102,26.1457965449119,32.0694143159902,46.5370843575636,58.0314655939489,55.3969015689957,61.2410448844594,51.9313703089482,50.6115996715886,60.6742673529174,59.3094257094682,59.9279063062097,61.4391357049562,59.8185053930195,60.929716659841,63.8603924824476,51.6110059914161,47.6965665956273,47.6555208623712,33.8622872194276,22.2058797693168,14.0361310452992,11.1770533157267,12.0920995623905,14.5422215602644,20.865561031766,22.8611301653381,22.1824172579129,20.6625701120736,21.3281771426328,20.515539732288,16.6624988091836,17.7195938888347,20.8029254400201,24.3947083800376,25.4382646879817,25.3679524260496,31.7906808845151,,,
Cyprus,,,,,,,,,,,,,,,,93.8645148375831,119.77277069294,127.985096836644,114.284619022564,113.77691581074,80.4897591991685,82.7785889753425,81.834259276511,79.7087866512876,85.0214379243517,70.8933338896415,55.7472673564324,55.3873981044789,59.9234471675182,67.4704014842667,62.9389740535274,61.9042955313119,62.2092938670276,51.5910443216173,53.6649461089654,53.1775577319996,57.4534756578721,55.0779876723058,49.6782389968439,47.2063699222108,51.4979297597483,50.6131381839871,46.6877810656834,40.459340748718,40.7734393958011,45.7745641402774,44.8101924621965,45.8236123328672,48.4828251133869,38.6206584090425,42.8429384915293,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.6281898284106,84.5823841614482,80.9193601643624,84.0073861830917,80.5749374141562,86.5758720741901,87.6279851869513,91.4061977111563,107.664449010558,112.578698452824,105.144001615698,109.929552919412,126.869727283221,124.146128020326,131.911319369799,138.144088244103,133.66865971937,114.615424367379,134.911605547203,
Denmark,52.8191399804845,49.1867272340665,48.62198263677,48.5337176460257,49.6908554278294,48.1557207044611,46.5487118175907,44.50701050473,44.5278772376383,45.5164564644434,46.7937337758883,44.7609806126456,42.1390285778893,46.8936210566388,52.9156096839267,48.191364993341,49.321624410087,47.7541833506657,45.0143275218275,47.8557176347721,51.7706637225581,55.7773410251402,54.4461244420552,54.58846882688,56.4727147677786,57.7317046905357,51.1361787564952,47.6629810543859,49.2286635100687,52.3222161732847,51.6813560253519,52.682644508059,51.4602667232888,49.1108977538059,51.4567002646004,53.2163296372401,52.4334150733809,55.2555199659572,55.2164514537884,55.2182972068248,60.4997971559323,60.4617169048582,62.0051432853179,58.2917342550825,59.3460034739,62.3660310256815,64.8978852363215,64.6071632057405,65.8031645548531,56.7529095009799,58.5049334410785,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,63.0517871724582,,62.4042922683089,56.5950182016332,54.2495342225815,53.0588299403122,49.9543688865339,49.1571819598029,47.8705555312767,42.4048327765028,38.2340428867359,40.7283601572399,41.2194297464636,43.459839626686,41.28113904633,43.1942433698463,39.8310714770187,39.3632760092828,44.2865304168958,44.9410805828934,44.6948630854668,50.8390400292729,62.6592922697139,65.3766408242038,50.3386660945403,,
Dominica,,,,,,,,,,,,,,,,,,93.0510199732792,98.1140965179329,71.3720405581345,98.1387496181336,104.200460478873,99.9280371302703,90.0834121562687,93.4910771282544,84.1911503335144,88.3344364575969,90.2268879157953,98.7711627829235,99.1041006957739,104.014962390471,90.8904322468349,82.3949771802668,70.8517395279076,66.3698534706946,72.309477742403,76.127820893338,72.0151909163542,77.0002467517591,72.8316515836665,61.1433087372777,51.9861020769366,47.7779574281303,48.4645225723293,50.0001020661998,56.2627334755548,52.8430826335777,54.8331436980595,61.8563828174248,55.6357259217006,58.9635695828727,
Dominican Rep.,41.7043585311062,34.1025753609355,38.938843885503,38.1100179401385,39.061724843897,25.0702407411865,32.3425134312832,34.157228449942,37.5732543764766,34.9817156598252,37.2453195208695,36.0528684589534,37.0329095682852,39.7280691832194,49.3720946130708,49.5208777390036,40.3530400826529,38.2668775211571,34.8204172252011,37.8517122199354,47.9716478554991,46.8969325724798,33.6137608481764,32.2662950440634,28.0628056206999,59.7671168799179,54.2458416242559,67.2209681831111,85.4622888122112,81.6110719308042,73.1727172045322,56.5897317339945,59.3206348875807,60.6099931506469,57.5833664678958,54.7116307766962,53.9383458215746,57.2793461866842,59.4485839243286,60.7028190930901,63.4088331785139,56.4573298238428,52.701497031109,61.5854436220456,62.7245069946563,47.0944126580144,52.2452498423141,50.2417218225079,49.6457069028656,37.9984247921654,42.2996569687512,
Ecuador,25.7692306219172,23.7473094205817,25.1868827079651,23.9252192932953,25.4890611315212,26.6299946555082,24.6502946806923,27.6673329652712,30.9062303157895,25.0052689454545,27.6898265710872,33.2885427908173,33.3811931316435,35.8208470213861,45.8694925719574,42.1591748842906,38.9649528409831,37.9014999188951,39.3714712137139,38.628177154591,39.7791566565897,33.6107420252005,34.0752569356434,34.2766861124882,37.2020855778226,39.4572074848994,38.6229113580724,45.9372869246854,42.9308091565242,44.1770684909522,44.1774430095155,46.2706787263743,45.3289401326785,36.2804217428268,40.0443267125825,41.8644543520153,44.5634954750365,43.2099406315267,42.031015876404,44.7668237784667,54.2478625912058,47.2517627135257,46.4158342523046,45.4969241054538,48.9472983544317,55.1856642494973,59.56502730883,62.004948931142,69.491388660573,55.6553418379246,65.6812870221585,
Egypt,29.8129139368127,27.3464471563027,28.5652205600926,34.5624763540259,31.2063771693654,30.1033468952138,31.3861872595283,24.3448822427506,21.0791185698542,20.152734867396,20.1537989112752,20.6760618500681,19.6718584505222,21.1704285175211,42.9008140666881,46.6492055011006,39.8861501881832,44.5737721068304,56.9962412075205,31.2776843148528,34.5051831945763,51.5778312887186,47.6626503991551,47.9433602918986,45.3808612817911,42.7160211476696,40.2338194118462,50.7949873400985,82.7630289838994,51.2630477672176,36.8394320877682,31.8009831373126,27.2079045482885,24.3008429087007,26.3883084072386,25.28289730058,24.511413834359,21.8418509955691,22.7469896384221,21.5862066433396,19.8864565414327,18.6419033607337,20.848717144364,24.5500023795331,32.4831549605326,39.4277350645274,40.9624556280265,43.1674910042964,45.8212081518705,35.9857280440414,36.2552386780209,
El Salvador,38.2928388746803,35.8166729536024,36.9646498980286,40.9510059784287,44.8956797739939,44.3512756950838,44.0743597466395,44.1671794359147,42.2436993316457,39.092814465039,39.1660483517588,40.2724855119953,43.1864640439653,50.5629827600064,61.5314442593749,60.7965501714438,63.4786176651298,64.6387709605411,59.9879801223604,65.2550522536728,54.0856658246507,51.8736153567579,45.7756227013047,46.4015581348162,46.2628746621446,43.1537089788912,44.8078184911807,40.045014018461,38.5691236969894,37.9441512537959,38.4302311240473,37.5447423079479,44.5196687038278,45.7913701841436,46.9479254713168,52.4288668375651,48.586875837848,55.2775638929375,53.4125303469255,52.9898336126477,60.0571893915972,57.1284022748089,57.1760084435964,59.0295546531798,60.9783331117905,59.1325509833975,61.2860970205976,63.840655760536,67.4662871541225,54.1677556749431,61.2664803178928,
Equatorial Guinea,,,537.118642775577,424.350513320339,440.512302773455,81.8553888130969,83.924178845319,94.0298681496098,100.719424460432,105.614348251094,73.3136629910407,86.5475528613857,70.0146130980691,56.3524403390475,52.1666011266983,44.1437422544386,13.6609583687831,22.9450610829082,,,,,,,,46.4874741950652,88.0130379151995,83.5315448655733,86.4765419740353,81.245140309325,95.265112529812,155.135616841965,97.1824957217494,87.7734012919476,82.2059424647129,151.530621932641,202.162282673797,171.775745441016,165.862182818892,130.043546284224,123.423023969217,146.76467303018,122.230691956892,125.62826987915,108.586420205421,101.906999797236,106.49593654385,100.040228465256,107.525162858446,117.000255516882,115.662213485265,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.006650203503,83.5690983405542,106.641426477772,93.4230800421701,93.8667989838044,84.7785408666588,71.8955331559964,77.077015935191,80.1767676767677,64.2820086186706,87.3087212436708,50.4989167690652,44.3001545026486,45.6412063270142,41.8820548276232,39.6985170746151,44.2701460885957,32.3689879847269,33.1600049156656,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5787982708985,100.756868993788,112.124154279345,145.950800796547,143.475495515267,124.897628775677,156.489439871941,148.155122408118,139.245433509146,138.024547373937,118.593973481169,129.136402740394,137.685243836671,123.215184973264,120.869969341492,99.62991162378,124.144660632311,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,15.3938409571269,15.4921960012284,15.0304401729614,16.9140209734178,14.093256467481,15.9304268247231,13.6017455467365,14.3913955530464,12.3625120806755,11.4131282373604,4.94706907794783,7.14994411925794,11.2511391141273,20.4358578814069,20.6030389437105,21.4313923883422,19.1208316025108,25.7465297415397,25.6162328337983,21.3511068863907,27.7396451728725,26.622184348128,37.1929586316727,35.3301734691584,40.610507999075,41.2165833337914,36.2394321265246,37.0777039276105,29.0534270243193,36.308137746595,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.523676609529,83.3270800967783,94.7907499708862,87.7998252184769,81.201727581386,89.5846493108729,73.8718247596392,77.5321753371869,73.1421884602253,77.3436875334623,76.2649815681652,70.2951197012899,,
Fiji,77.8193719763793,71.2529837289205,74.6681342907616,87.9636249355652,102.193974785732,92.2196216609589,80.4890706432749,82.2725725917431,87.6150503909465,88.5084366603892,86.6329429405631,87.459974964606,80.3996812858783,80.8245583826261,82.7463984,68.7896823167152,62.784317533093,73.7400354448269,73.1420786670464,76.8439977000704,85.8163990664081,83.4209998106419,74.203397444093,70.3405668868882,66.3838469379754,65.63208507406,59.7568516111377,64.4362612612613,80.4521227009322,90.894749352868,93.5659545454546,79.6332615083252,70.0481692220822,71.540987507436,77.4673477024398,76.6869717420333,81.4834504685408,75.771398938176,74.4816113254549,77.8510234491412,84.0206527791261,85.7176067348452,76.8441171259388,80.8744369442469,78.4232573194803,76.7612597976702,80.5134557865581,75.6008872285709,88.7442942504214,71.7622622904749,70.2349349962563,
Finland,39.2949816670391,37.2888715668485,36.7720253639766,34.2363821751932,35.9992811463584,35.7673580646886,35.0931356949592,34.0402994452674,36.5819744520725,39.8397670341464,44.0721309029464,41.7952969665312,41.7251037011016,42.5069106117406,50.1061293950874,45.0879427738928,43.6388800713832,46.1379779253778,45.8793741182635,51.3703733106348,56.19000210482,54.4436887470072,50.7674522458629,50.4007030802216,49.7043981701183,48.8342510163843,43.8260736295816,44.0563763500623,40.0046059175364,40.8698767365436,38.5733275113082,35.8250218853046,41.0170627567678,47.5449988083037,52.6460035744989,53.483744170553,56.5403754627715,59.422512758428,59.1174254134836,57.0564778564055,66.1325895191616,60.8748380068941,58.707727865556,58.2531057384957,59.748463075672,63.4715818993569,70.4888250662058,69.7722762506412,69.2112616650477,51.6329911089193,58.0321898239617,
France,20.9870717508358,20.3475099088659,19.3799462739527,19.8105427897581,20.2373926976981,20.1253768615212,20.6528237748648,20.0810037692608,20.7329223258312,23.140724774675,25.3285304289366,25.7470337547677,26.5970826522543,28.4562428714213,35.1487382886874,30.1030008603779,32.9338027114174,33.4902452735647,32.2275654477958,34.3294315245478,36.3446991543184,37.5692364652956,36.9665802770397,36.4953381447974,38.7067725459824,38.6257082257618,33.532276221431,33.4305769697895,34.6242700097068,36.9791040835305,36.2511882879219,36.0431893019021,34.6336542220961,33.8449242262151,36.2989190346475,37.5655337862748,38.1535036099969,41.306665463883,42.7812497412202,44.030577457473,50.2550891210437,48.7174739758772,45.5211850747358,44.128610926023,44.9024884174906,45.2856218760463,46.0072101146298,46.0996796731231,47.0153962647813,39.8038776090469,43.9986893715062,
French Polynesia,,,,,,,,,,,,,,,,,,,,,42.3594578110491,45.7040938417471,42.5974281598038,42.5931587450127,41.044490822291,39.0782890215505,33.8472743252552,35.8603454463095,32.8561461260096,33.3401414849829,32.7234357112962,31.8605104870145,28.0477702746425,26.7687948073855,30.9743228361168,30.0825524052623,32.1895720617707,32.4917210209318,33.5085064687791,31.0506981974565,34.5753469153612,,,,,,,,,,,
Gabon,55.8959080971108,54.0090614252618,54.5387668491151,78.5206377779996,69.8405736256571,74.4684780951351,68.3212790771985,69.3530916717066,64.1084176111337,68.8501630195836,69.3900324301604,71.2500966317793,85.3629733548387,71.916755679702,71.1364319343556,65.4361972318339,54.4336022027534,73.3030587365981,72.1429917136498,78.543312466646,66.5307564698076,78.7615683658885,83.6959677012364,79.1745685986226,76.7951163089577,84.0135661446184,62.7846865190464,61.4914042061405,51.8187539039243,56.4920670160988,52.4502164630384,56.9505046906543,49.7460150243876,71.7116811685088,74.1137585253756,72.4969396412411,72.7248197610547,77.4947656878196,67.3379674858223,69.3761581330547,70.0220108201056,74.8204916829194,71.8716021433192,70.4873405131994,70.7006404103905,75.4238851061279,75.1609513206451,73.166585736068,83.2277062879986,77.2560295735737,94.0340537860618,
Gambia,,,,,,,77.1497713177169,78.6741813321374,82.5176346367928,79.711800141289,66.5891171718421,62.3314723305306,74.3270071050605,74.5237995541748,93.407027045803,90.2070003985845,97.0240581248196,90.5703081104519,81.2682654593271,96.2312456829537,81.3005648190006,69.9312170680221,68.0541939984014,76.377297792933,84.0176237387204,60.2518955781436,75.0141589999125,75.689260651673,73.5047938691396,66.18151129178,69.1020711596559,75.762750467764,79.1489846842356,89.2511433276001,68.0379693267832,51.8398782643796,71.2039594407232,71.5268686792006,59.7759099351902,47.2293236000409,47.9930146695884,34.4562036801859,46.6855489834858,44.7948039497307,59.5981727318046,58.0390915819038,53.2659864853498,51.2281821269763,40.8655216666667,43.4830463669415,36.054726063758,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6907501355128,20.1579082178608,28.6275989846899,33.7269968575993,29.8325711284008,29.3926016147593,33.7535800042294,33.2661609195281,33.6299892858141,40.1365490513958,48.6259808930804,52.3307722145163,59.5697531984792,63.3773970066835,60.9360914306438,51.080000277994,57.2433707416657,
Germany,,,,,,,,,,,30.7252216001385,30.2329875534363,30.0269900095611,31.7639998373552,36.904163551373,34.7741457061946,37.8912698146593,37.7776866101682,36.8714384996981,38.8620056933176,41.4156338736709,43.8905106006828,44.1444401756267,43.2144425615144,46.2814730153034,48.3042449783365,42.8846308256013,41.616302764606,42.3151386436677,45.1272842536099,45.3076442812272,43.8322183956731,40.625504034215,36.0011920030644,37.6313316743351,39.1354551852854,40.3677302293333,44.4376380424553,46.6091152829515,47.7505315328378,55.6089108631236,56.2373033257886,55.1240954543798,55.9519765654945,59.6267383526569,63.1896923501933,69.4097470590488,71.4902061160805,72.6122037918133,62.0373936546698,71.1992583824117,
Ghana,56.4987450727123,55.4850761285396,47.4468036757625,43.5102721933991,38.1815219605994,37.3193972548638,29.1514739883696,35.1669769453158,38.3950589127205,34.3775917270392,39.2285607146458,37.9464300451823,34.453459368612,44.9578118923386,53.844775661549,57.1756309315898,61.2834804309338,64.3270856234838,57.3125607192226,45.9593856443716,53.6980326635358,51.4157458983902,39.1229468640244,59.3008847648108,25.7463268077566,32.9237870825835,33.3298256929506,42.0309638204916,36.8428182130255,43.6469005524198,35.7118365063172,25.3349518955302,53.3478870818378,59.4900423887671,64.9386456797194,56.2142124557655,54.537340914242,57.5390158009742,58.3086567669638,67.4465252334814,93.3000594420403,91.7282876332718,74.195373353117,72.590979524258,73.5351228499606,76.0191605085231,51.4037523729585,49.7556064085161,54.4686797351865,53.451700729027,57.5658600586426,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,20.3574556704971,18.6880160052231,17.8567784822736,18.3948910069502,17.8674657212564,19.2287585208309,19.2637761493038,18.4037773223806,18.7682967407346,19.0643133561091,20.5690903481221,19.8399650804016,19.9884397990817,23.1475680571281,26.5361357423388,28.1282714524009,29.016811911423,27.8573790897809,26.5229896201746,25.9829293745594,28.9735949348656,26.1560755742621,27.5029160260248,29.5182246649321,31.1224023205194,32.1774609094046,31.6173913994937,31.4691848718025,24.4114378495113,31.3884445588852,29.8697031727166,30.1673231988945,29.5323376271744,29.35240577782,27.8008417433306,28.3108748023247,28.9425531114098,28.4026111449864,30.427137396296,31.2330666264192,36.3535718892214,33.3964121680893,28.7465616044081,30.1964632991408,29.8606553918523,29.8715789131757,32.1950768611316,33.4897499737217,34.8668567025404,27.9424121520539,28.0923662836887,
Greenland,,,,,,,,,,,,,,,,,,,,,107.971450471587,110.155154623711,111.828176253355,107.164116734748,116.771954903251,113.835521902077,102.816454873574,108.332530944424,101.267775665399,87.8683680300132,88.0294453694893,73.6842093458423,76.0177047086991,71.0731189426702,64.4207170990935,66.5865224666569,69.9782093413979,64.3564019912442,57.7462544667965,60.6245330630859,59.7364297270165,54.5034066371681,59.0179065547129,56.5739318931574,56.378670063724,58.4360995004897,58.385943886042,53.1634153053538,78.1426158956524,84.4763759695864,,
Grenada,,,,,,,,,,,,,,,,,,87.5453026505025,77.8792644524892,83.1297389947262,80.1293423081189,83.0594199245308,78.7570020131763,75.0905666957485,67.2116233641927,71.7566559401355,79.8549475881069,72.3556001438984,67.7384405026624,59.6057582491713,59.7094968667209,59.6099605768514,50.6147870691642,55.1428184439922,54.244483131167,52.8418239895205,58.3739765953039,64.2747818371607,68.9524028695582,62.6927212215093,55.2185365279832,49.0994726258435,43.9264414630452,50.2675600085864,44.6308772498143,51.0159681249775,46.2573707708428,52.496810703966,47.4504820548595,40.8292812810449,40.3686480449033,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,22.4003463334823,21.4442296448835,19.9554039874082,25.5479885967691,28.2249270337872,31.1792113530641,31.1339605980537,30.6308902785081,29.5988829227968,29.476508036899,30.1733193277311,29.2115074566707,31.0027130786117,33.7521390626367,40.2527293576663,37.1973994924938,36.6345936805835,40.374599207388,39.1247969703224,39.7725483678137,39.575056637973,33.8541957885555,28.7713673519373,25.2486177132078,25.4276659709882,22.9590601778698,27.6964899555567,34.3571800232633,32.8886828634494,32.8390262909492,36.7575665509558,32.4576692153598,36.6445531225093,34.5528048873759,33.1350388456168,37.163338411932,32.804066616058,34.8255628992887,37.2956699949382,37.0146141938133,38.8117164563988,43.1646211366614,56.8951450030091,57.4255861785216,60.549677746441,58.3569018447313,59.3416874519234,60.016521826665,56.9392295361331,49.7438784232796,54.1528334009802,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0246302451153,49.5704695053677,46.8062736586101,48.6836223905848,52.2759897756319,47.1692078844626,38.2752945592109,39.3740490784818,36.1105807185336,41.1643075203624,35.0646338671838,34.4813665559337,34.2656122244921,34.4272710138235,41.0620540467526,46.0526758613345,45.0651914950034,36.2405358797819,41.573603537149,56.950927726378,70.4996886221198,57.5058121737467,71.6753214442627,50.6599272838339,52.0996160099169,
Guinea-Bissau,,,,,,,,,,,39.4249648505338,42.587089381207,39.9892445269742,53.4202576805252,47.5626783891792,41.1347713633644,38.0644539057305,42.9869086115415,49.9996770578616,62.5298297329852,59.6454723410426,41.3618599686036,37.4568855542026,39.125180689016,46.9385607156398,50.0499622357741,53.7531099631008,50.0470361520728,49.8608686716677,38.9408819077527,43.0395562828742,37.3322472239594,45.0702085628689,37.5716247526528,83.6089328664521,61.8206425324363,42.5265798499908,51.0145714376854,43.5924827586207,45.4451616135058,56.1600912646675,62.803292551891,55.4972473626832,27.3556385070185,30.4216514130289,34.0877151461799,34.743981011633,39.8044678727646,38.6049797154201,41.8651094419596,39.2706964062241,
Guyana,94.1021262573863,92.6710965120637,86.7534368134417,97.3314475080995,93.6208231571409,94.4938812711718,99.0595449596155,96.9375761965712,97.5647442872688,98.0204572803851,100.853248693055,101.056555989735,101.431087076992,102.0203272528,120.945384552653,143.370848149368,141.410751276423,127.397746886523,113.290016269843,115.05071539222,126.160477453581,138.509708890174,111.825726141079,85.8310626702997,96.6566396854803,95.2615426870492,90.1612996401302,142.981295113512,107.781540308371,127.705723013962,143.223752473468,164.831047667326,199.304128016078,203.041808801704,177.859974737351,157.972600556422,162.034338767455,163.654759626213,142.711664456495,144.367442212273,150.280370746977,152.524524577179,145.336582659108,146.793628025703,158.330230539908,162.616878218386,101.298087308024,99.8650257691756,109.579132612184,94.9507209407596,102.327124194918,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2814620348734,16.6239950525102,24.0825705037875,15.6710785296694,28.3064394854887,25.413472119947,26.521376143693,29.7272092261303,33.2379231318127,36.9490675152993,36.6877600849023,43.8619347428426,54.2851680565196,46.365453289935,46.3114405538346,43.6035475768887,36.8975897891963,43.6226231304455,41.6774938513785,55.5908706886867,
Honduras,40.1608837854138,40.707467714767,41.5860717849719,43.5153583617747,42.9321663019694,48.9855499852551,53.0793693076281,53.4576172133788,56.7772094798464,52.7866741180036,55.2939142461964,52.3508891928864,49.5414714636701,57.0980841941246,64.8975350410826,61.8394128113879,63.499632094938,65.1814927138711,67.4042509235222,69.2604939890454,71.6679648116232,60.6490512502217,46.8744613397683,47.9363020909853,48.7496233805363,45.8304720244952,45.398450452212,38.964479529648,44.8822815267992,51.2986252597035,61.3827525436661,63.0482357641428,62.9023242834775,74.0210770979884,87.7874893474492,93.2770983091156,102.929217086699,108.74096563347,118.436574834038,117.388751056216,103.175799814741,100.107193983002,104.501323620291,103.572992121096,116.795318026521,118.810007776968,115.225222018117,118.687772532662,119.953523959442,85.5279723891726,92.7998342518243,
"Hong Kong, China",129.845421570162,113.213622752752,112.080587634745,109.89737511034,110.267653546479,111.091271781156,123.704031157206,124.189240448816,139.397462136646,144.617213124909,142.194789581464,140.549795931856,127.890715267684,133.719371697628,135.974381535382,127.36924787591,134.55627143748,127.73722591166,135.792983515226,143.442942543595,150.310912536405,154.8234608382,143.541209219734,157.344923710348,176.234121666967,172.445986063297,176.046094689755,196.96666776778,224.523274403809,219.626082481147,217.351339844728,228.00219635997,237.423537726592,230.658003698292,234.128586403429,256.495236863938,240.42786195964,227.716473971642,216.659086731994,217.483733306597,246.406399967113,235.948536542751,250.271290696185,291.323217713873,324.580968680641,333.16827181835,346.663006071479,347.44679210143,354.375625632104,325.712944953221,375.597006430569,
Hungary,,,,,,,,,76.6970245004273,77.0673885269098,87.0190168035892,91.0139061707594,91.1105893186004,95.3279534551964,111.484069424521,121.167618252447,82.4530538011873,87.1604381787336,86.8750702384288,86.8066759292849,80.3125663112959,78.7134125388505,76.6012105615124,82.4742753247274,82.2430313677876,80.7580920543029,78.990343727039,74.4578879131095,67.7969185798405,63.5465344967659,61.5316948681217,63.198939192215,57.314546626531,54.434014524192,59.6155810187952,62.1798096044186,73.6979973043956,86.6800343342693,101.581584492311,109.93136817194,130.135236787949,121.492801303062,108.860932431081,108.815194765576,113.911409130954,117.373614093729,136.420000657929,140.310248180853,140.983736291634,126.957754594315,142.699562593532,
Iceland,68.4904375349974,61.9326835053985,60.9725621882608,59.9069315602547,55.8010342006123,50.8905041609165,47.6657956195101,41.7493337046674,45.0891100844806,55.7072131431782,58.5590342685131,54.4328550562946,50.8091450046141,57.090958753993,56.873807494691,56.9618499354704,52.7871093869201,51.3583726472468,53.1839984636335,56.818693832057,57.544669915169,55.7355631811173,51.564960744229,57.17485594077,55.9885407301258,58.5064851326918,56.4302159196818,54.5183334711824,50.2146806792624,49.7805058449758,51.3423621125947,48.6238003070472,46.0430477841294,44.8546422536757,49.1675395723732,50.7259788606501,53.7309872829808,52.1218208190762,53.2217311587513,51.700864663725,51.6252275050234,54.1210296287598,50.5697636550831,47.47536906266,48.9184932563323,49.5507791221894,57.5914491551065,56.3971302758389,68.7650336026905,63.2393872721503,67.788003528126,
India,9.93014353351219,9.46160145439188,9.02059544641896,8.56882181563129,8.19798962142373,7.69147307252998,11.9060704487402,8.85815177874128,8.26008925846811,7.0100351055476,6.78304746913447,6.73045285947943,6.5672558663516,7.18874196122117,9.1757520495754,11.0677158725259,11.0931395632004,10.8786903589634,10.7370877984394,11.689003587655,12.7585292701383,12.4507653698662,12.2148605404613,10.7863927905252,12.0375008183963,10.9019469377599,10.0742949532425,10.1350055859677,11.0776062478358,12.4202259085801,13.0876753296912,14.2697741737421,17.5957817938296,16.0702881133743,16.0321530296407,18.3376887364041,18.2948664879368,18.6023797930535,18.3583307219796,18.3463632783224,20.4054034211826,19.6198019997788,20.8535281669512,21.9397949952462,24.4499086271119,29.0738119044492,31.5573719556555,30.5473664115842,42.4228247814692,30.6482838343635,31.6823388577726,
