Agricultural land (% of land area),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Channel Islands,,47.3684210526316,47.3684210526316,47.3684210526316,47.3684210526316,47.3684210526316,47.3684210526316,47.3684210526316,47.3684210526316,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,36.8421052631579,36.8421052631579,36.8421052631579,36.8421052631579,36.8421052631579,36.8421052631579,36.8421052631579,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,,
Chile,,18.0033085416863,18.2319476013073,18.4605866609283,18.6919155918389,18.9218995871048,19.1491937110809,19.4450795529434,19.7409653948059,19.9696044544269,20.3085282369239,20.6447621481312,20.9809960593386,21.301090742808,21.8552042284777,22.2586849219265,23.1328930910656,22.9983995265827,22.8639059620997,22.7294123976168,22.6621656153753,22.5276720508924,22.325931704168,22.2586849219265,22.191438139685,22.1537799416298,22.1053622584159,21.7381948273775,21.726090406574,21.7462644412465,21.3831318171426,21.2351888962113,20.9218188909661,20.8155689750245,20.7792557126142,20.6178634352346,20.4860597420413,20.472610385593,20.4685755786586,20.2547308111307,20.3219775933722,20.3757750191653,20.9339233117695,20.7456323214934,21.4315495003564,21.3643027181149,21.2499831883044,21.1639073070354,21.1652522426802,21.1719769209043,,
China,,36.7997684254539,37.0949187612906,37.4007901409281,37.7065543101276,38.114275605873,38.5005548140167,38.8868340221604,39.2725771781141,39.7673533495221,40.25944925998,40.7576561654043,41.2525395472503,41.8536684731626,42.5656529919753,43.0597248548369,43.6979492765432,44.3350419140106,44.9637252705193,45.7170946337844,46.5530162113251,47.3773590367336,48.159083647997,50.4858792677932,51.3433511088811,53.1655055738886,54.141123697657,55.0843641650103,56.0395050292578,56.929247315978,56.9715955751966,57.0245577019154,57.0773054070686,56.9115575368108,56.9584086489083,57.1125320022128,57.0614999978558,56.9665118552921,57.1237890619975,57.0643946703718,57.0575332244079,56.9570773670916,56.860373863037,56.6606414594296,57.2948963707239,56.9155870610283,56.9151582206555,56.0244567664578,56.0219909343145,56.2125032699078,,
Colombia,,36.0252365930599,36.9283461018477,37.3979269941415,37.8503830554304,38.7634069400631,38.7742226228031,38.776926543488,38.778729157278,38.783235691753,38.783235691753,40.6074808472285,40.6200991437584,40.6345200540784,40.6480396575034,40.6624605678233,40.6759801712483,40.8427219468229,40.794051374493,40.808472284813,40.8219918882379,40.8364127985579,40.8499324019829,40.8643533123028,40.8796755295178,40.8968003605228,40.9148264984227,40.9202343397927,40.813880126183,40.7237494366832,40.6336187471834,40.4542586750789,40.5434880576836,40.4713835060838,40.4371338440739,40.1198738170347,40.4867057232988,40.6327174402884,41.0482199188824,41.1608832807571,40.4317260027039,37.6250563316809,37.5006759801712,37.9008562415502,38.2073005858495,38.3569175304191,38.011716989635,38.2478593961244,38.408292023434,38.3415953132041,,
Comoros,,51.0752688172043,51.0752688172043,53.763440860215,53.763440860215,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,59.1397849462366,59.1397849462366,59.1397849462366,59.1397849462366,59.1397849462366,59.1397849462366,64.5161290322581,65.0537634408602,68.2795698924731,68.2795698924731,68.2795698924731,68.8172043010753,68.8172043010753,71.505376344086,71.505376344086,71.505376344086,71.505376344086,72.5806451612903,73.6559139784946,74.7311827956989,75.8064516129032,76.8817204301075,77.9569892473118,79.0322580645161,79.0322580645161,79.0322580645161,79.5698924731183,79.5698924731183,80.6451612903226,80.6451612903226,80.6451612903226,83.3333333333333,,
"Congo, Dem. Rep.",,9.68218610088,9.69100813832955,9.70424119450387,9.71747425067819,9.72629628812774,9.73511832557729,9.74835138175162,9.77040647537549,9.79246156899936,9.81451666262323,9.8365717562471,9.85862684987098,9.88068194349485,9.90273703711872,9.90273703711872,9.9247921307426,9.93802518691692,9.94684722436647,9.94684722436647,9.96890231799034,9.99095741161421,9.99977944906376,10.0130125052381,10.035067598862,10.0571226924858,10.0791777861097,10.0791777861097,10.0791777861097,10.0791777861097,10.0835888048345,10.092410842284,10.1012328797336,10.1012328797336,10.1012328797336,10.0130125052381,10.0130125052381,9.96890231799034,9.96890231799034,9.9247921307426,9.9247921307426,9.90273703711872,9.90273703711872,9.90273703711872,9.90273703711872,9.90273703711872,9.90273703711872,9.90273703711872,9.90273703711872,9.90273703711872,,
"Congo, Rep.",,30.8638360175695,30.8638360175695,30.8696925329429,30.8726207906296,30.8726207906296,30.8726207906296,30.8726207906296,30.8726207906296,30.8755490483162,30.887262079063,30.887262079063,30.8931185944363,30.904831625183,30.9165446559297,30.9282576866764,30.9458272327965,30.9370424597365,30.805270863836,30.8111273792094,30.8199121522694,30.8286969253294,30.904831625183,30.9165446559297,30.9282576866764,30.9458272327965,30.9370424597365,30.8638360175695,30.8696925329429,30.8755490483162,30.8081991215227,30.814055636896,30.8199121522694,30.8345534407028,30.7994143484627,30.805270863836,30.8111273792094,30.8521229868228,30.8579795021962,30.8755490483162,30.8638360175695,30.8638360175695,30.8638360175695,30.8638360175695,30.8638360175695,30.8696925329429,30.8784773060029,30.887262079063,30.8931185944363,30.9224011713031,,
Costa Rica,,27.3207990599295,27.614571092832,27.8104191147669,29.0834312573443,30.4543674108892,32.021151586369,32.0407363885625,33.6075205640423,35.0567959263612,36.349392871132,36.9565217391304,36.9565217391304,40.1096748922836,40.1096748922836,41.5589502546024,43.1844888366628,44.7904426165296,46.2201331766549,47.8456717587152,49.2753623188406,50.9009009009009,52.4676850763807,52.5264394829612,53.8190364277321,52.5068546807677,51.1555033294164,49.725812769291,48.2373678025852,46.5726596161379,45.1429690560125,43.8307873090482,42.3031727379554,41.382687034861,41.030160595378,40.1096748922836,39.0716803760282,38.2491186839013,37.5048962005484,36.9761065413239,36.036036036036,35.8989424206816,35.7618488053271,35.8206032119076,35.6835095965531,35.1547199373286,35.3505679592636,35.2526439482961,35.2526439482961,35.2526439482961,,
Cote d'Ivoire,,49.3081761006289,49.937106918239,49.937106918239,50.251572327044,50.5660377358491,50.5660377358491,50.7861635220126,50.7861635220126,50.9433962264151,50.9433962264151,51.2578616352201,51.2893081761006,51.6981132075472,52.2798742138365,52.562893081761,52.9559748427673,53.7106918238994,54.1194968553459,54.1666666666667,54.2610062893082,54.622641509434,55,55.2955974842767,56.2924528301887,57.1698113207547,57.4842767295598,57.8616352201258,58.8679245283019,59.1823899371069,59.5283018867924,59.5911949685535,60.377358490566,61.3270440251572,61.9496855345912,62.2641509433962,62.2641509433962,61.9496855345912,61.9496855345912,61.6352201257862,61.6352201257862,61.6352201257862,61.6352201257862,61.3207547169811,62.5786163522012,63.5220125786164,63.6792452830189,63.8364779874214,63.8364779874214,63.8364779874214,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9976748345555,40.6367376140225,41.3521731353962,41.709890896083,34.5659163987138,34.6730975348339,36.6302986943302,36.3441244857807,20.9086031121445,21.0695761044536,21.1232337685566,21.3915220890717,21.0150107219442,21.6404574696212,21.9799857040743,21.4796283059328,23.0164403145104,23.2308791994282,,
Cuba,,33.0540037243948,35.4283054003724,37.5977653631285,44.2737430167598,42.3463687150838,41.9925512104283,43.0260707635009,44.0130353817505,44.1806331471136,46.7597765363128,47.2346368715084,51.9646182495345,54.4785847299814,52.4301675977654,54.096834264432,55.8379888268156,56.219739292365,55.3817504655494,54.5810055865922,55.2793296089385,55.2886405959032,56.6387337057728,57.5325884543762,57.1880819366853,57.9329608938548,60.0651769087523,62.6256983240224,63.2029795158287,63.0540037243948,62.7653631284916,62.8957169459963,63.0819366852886,62.6629422718808,62.2532588454376,62.2346368715084,61.5921787709497,62.2625698324022,62.1415270018622,62.0111731843575,61.024208566108,61.9739292364991,62.5434721308394,62.3872180451128,61.3476177051029,62.3543780533634,62.294465846096,62.1946636602781,61.3491168733559,62.5234874107478,,
Cyprus,,22.1861471861472,22.1861471861472,22.1861471861472,22.1861471861472,22.5108225108225,22.7272727272727,22.9437229437229,24.1341991341991,24.3506493506494,25.1082251082251,25.4329004329004,24.8917748917749,24.5670995670996,22.5108225108225,21.6450216450216,21.6450216450216,21.7532467532468,19.2640692640693,19.2640692640693,18.7229437229437,18.7229437229437,18.7229437229437,18.7229437229437,18.7229437229437,17.6406926406926,17.6406926406926,17.5324675324675,17.5324675324675,17.4242424242424,17.5324675324675,17.4242424242424,17.3160173160173,17.2077922077922,16.017316017316,15.6926406926407,15.9090909090909,15.5844155844156,15.9090909090909,15.8008658008658,15.3679653679654,15.1515151515152,15.1515151515152,16.991341991342,16.8831168831169,18.0735930735931,16.991341991342,15.9090909090909,12.4458874458874,13.5281385281385,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4160735084768,55.441956774945,55.3901902420085,55.3901902420085,55.3901902420085,55.441956774945,55.4160735084768,55.3901902420085,55.3643069755403,55.2866571761356,55.2478322764333,55.2032099404608,55.1384933989128,55.0679611650485,55.0032362459547,54.9385113268608,54.873786407767,,
Denmark,,74.5810715128629,74.1326410195893,72.8817559594052,72.4097238612226,71.5836676894029,71.4420580599481,71.3476516403115,71.2060420108567,70.5924002832193,70.2147746046731,69.6483360868539,69.7663441113996,70.4743922586736,69.1999055935804,69.317913618126,69.2235071984895,69.0818975690347,68.9402879395799,68.9004247286456,68.546484190656,68.3577159037282,68.1217555450684,67.1543180745635,67.3666823973572,66.8711656441718,66.5172251061822,66.0061335220571,65.7466383581033,65.4399622552489,65.7702288275537,65.3456003774475,64.9540419514494,64.5533820410087,63.4221069997643,64.2469950506717,64.0113127504124,63.3514023096865,62.9743106292718,62.3144001885458,62.3851048786236,63.0685835493754,62.8093330190903,62.6443554089088,62.3615366485977,63.7991986801791,63.8699033702569,62.7621965590384,62.880037709168,62.0787178882866,,
Djibouti,,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.1259706643658,56.0396893874029,57.6358930112166,59.1458153580673,60.4400345125108,60.4400345125108,62.5970664365833,63.8912855910268,64.7540983606558,64.7540983606558,66.9111302847282,69.0681622088007,72.5194132873166,73.3822260569456,73.3822260569456,73.3822260569456,73.3822260569456,73.3822260569456,73.3822260569456,73.3822260569456,73.4253666954271,,
Dominica,,22.6666666666667,24,22.6666666666667,22.6666666666667,24,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,25.3333333333333,24,24,24,24,24,24,24,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,25.3333333333333,28,29.3333333333333,29.3333333333333,30.6666666666667,30.6666666666667,30.6666666666667,30.6666666666667,30.6666666666667,30.6666666666667,32,,
Dominican Rep.,,45.3228476821192,45.6332781456954,45.9437086092715,46.2541390728477,46.5645695364238,46.875,47.1854304635762,47.3923841059603,48.2201986754967,48.3236754966887,48.5099337748344,49.0480132450331,49.7723509933775,50.1862582781457,50.807119205298,51.9453642384106,52.5662251655629,53.0836092715232,53.6009933774834,54.2218543046358,54.3253311258278,54.4288079470199,54.4288079470199,54.4288079470199,54.4288079470199,54.5736754966887,54.5736754966887,54.5736754966887,54.6564569536424,52.773178807947,53.1870860927152,53.8079470198676,53.8079470198676,53.8079470198676,53.8079470198676,53.3940397350993,52.5662251655629,52.773178807947,52.0902317880795,52.0488410596026,52.0488410596026,52.0488410596026,51.0554635761589,51.0554635761589,51.0554635761589,51.0554635761589,51.0554635761589,50.6415562913907,51.0554635761589,,
Ecuador,,17.0134373645427,17.0134373645427,17.0495593122381,17.0495593122381,17.0856812599335,17.0856812599335,17.121803207629,17.1037422337812,17.3204739199538,17.5372056061263,17.7539372922988,17.9706689784713,18.1874006646438,18.6678225689929,19.4516688339835,20.0657419448057,21.0771564802774,21.6912295910996,22.3594856234648,23.3997977170929,24.4148244473342,25.1408755960121,25.6285218899003,26.206473053027,26.8024851900014,27.3804363531282,27.8897558156336,27.9078167894813,28.0053460482589,28.3412801618263,28.5869094061552,28.7277850021673,28.8072532870972,29.3635312816067,29.2876751914463,28.8505996243317,28.9409044935703,32.3200193267837,32.5132871637945,32.477049444355,31.3456273151876,30.1578354002255,29.1914962151715,30.3068126912546,30.1980995329361,29.9726203897568,29.8437751650829,29.9766468030279,30.334997584152,,
Egypt,,2.57973780702195,2.51644984680295,2.50138128484605,2.51745441760008,2.68421316992315,2.79270681601286,2.81380280275252,2.81380280275252,2.84795820985484,2.85599477623186,2.865035913406,2.86804962579738,2.86804962579738,2.85599477623186,2.83791250188357,2.74247827615651,2.64704405042945,2.5516098247024,2.45818474056959,2.45617559897534,2.47928072730926,2.48028529810638,2.48932643528053,2.50439499723743,2.50841328042594,2.57873323622482,2.55864182028228,2.5927972273846,2.58275151941333,2.6601034707921,2.65508061680647,2.91325531166809,3.26083680747401,3.26083680747401,3.2980059269677,3.30101963935908,3.31508363051886,3.31508363051886,3.49892008639309,3.30604249334472,3.35325732080968,3.4396504093626,3.4245818474057,3.49389723240745,3.53910291827817,3.54914862624944,3.55417148023507,3.55818976342358,3.70586167060124,,
El Salvador,,60.0479616306954,60.0479616306954,60.3357314148681,60.3357314148681,60.431654676259,59.9520383693046,59.5203836930456,59.4244604316547,59.3285371702638,59.2326139088729,61.294964028777,61.4388489208633,61.7745803357314,62.2541966426858,62.7338129496403,62.7413127413127,63.1756756756757,65.1544401544402,67.5675675675676,68.0501930501931,66.1196911196911,64.7200772200772,64.527027027027,65.0096525096525,65.9749034749035,66.9401544401544,66.9401544401544,67.9054054054054,67.9054054054054,68.0501930501931,68.9189189189189,70.0289575289575,70.0289575289575,70.1737451737452,70.2220077220077,66.988416988417,67.8571428571429,69.980694980695,71.476833976834,72.3938223938224,74.8069498069498,75.0482625482625,74.8552123552124,77.7027027027027,75.530888030888,71.1389961389961,72.5868725868726,74.9517374517375,74.5173745173745,,
Equatorial Guinea,,11.1942959001783,11.3725490196078,11.5508021390374,11.5864527629234,11.5864527629234,11.729055258467,11.729055258467,11.729055258467,11.729055258467,11.729055258467,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.9073083778966,11.5508021390374,11.5508021390374,11.5508021390374,11.5508021390374,11.1942959001783,11.1942959001783,11.0516934046346,10.9090909090909,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2673267326733,73.3267326732673,73.3366336633663,72.6534653465346,72.8712871287129,73.9306930693069,73.9306930693069,74.5544554455446,74.5742574257426,74.5742574257426,74.9207920792079,74.2574257425742,74.4752475247525,74.970297029703,74.970297029703,74.970297029703,75.1683168316832,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.41330502477,31.1394196744515,25.9731068648266,23.378155225289,23.7084217975938,24.1330502476999,24.6048596367068,23.6140599197924,23.2602028780373,20.9955178108044,16.4661476763388,19.5564991743336,18.1646614767634,20.8067940552017,21.2078320358575,21.5616890776126,21.3965557914602,21.9627270582685,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.54,30.472,30.5,30.5,30.492,30.508,30.676,30.662,31.409,30.604,31.607,33.101,33.691,34.219,35.077,34.513,34.985,,
Faeroe Islands,,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,2.15827338129496,,
Fiji,,12.4247400109469,12.4247400109469,12.4794745484401,12.4794745484401,12.2058018609743,12.2058018609743,12.096332785988,11.9868637110016,12.096332785988,12.096332785988,12.096332785988,12.5889436234264,12.8626163108922,13.136288998358,13.4099616858238,14.2309797482211,14.7783251231527,15.3256704980843,15.5993431855501,15.8730158730159,16.4203612479475,16.967706622879,17.5150519978106,18.0623973727422,18.8834154351396,19.1570881226054,19.9781061850027,20.7991242474001,21.6201423097975,22.4411603721949,23.2074438970991,23.8095238095238,23.8095238095238,23.7000547345375,24.0831964969896,24.0831964969896,24.0831964969896,23.535851122058,23.4263820470717,23.4263820470717,23.4263820470717,23.4263820470717,23.4263820470717,23.4263820470717,23.4263820470717,23.4263820470717,23.4263820470717,23.4263820470717,22.8790366721401,,
Finland,,9.110607702157,9.12702321153025,9.14343872090351,9.15985423027676,9.17626973965002,9.19268524902328,9.20910075839653,9.15985423027676,9.03837946091467,8.94316950654979,8.86437506155816,8.79871302406514,8.69037066220165,8.66082274532979,8.57874519846351,8.52949867034374,8.5590465872156,8.44742112347746,8.35877737286188,8.32594635411537,8.263567418497,8.16835746413211,8.04688269477002,7.96808824977839,7.90570931416002,7.85646278604025,7.94182343478118,7.79736695229653,7.83348107291769,7.86959519353886,7.96152204602909,7.89914311041072,7.82691486916839,7.91884172165862,7.41652713483699,7.34429889359467,7.46577366295676,7.60366394169211,7.53143570044978,7.2819199579763,7.2950523654749,7.34101579172002,7.37384681046653,7.39682852358909,7.46577366295676,7.56634112656604,7.54710776414877,7.55511681474169,7.55511681474169,,
France,,63.0653495718224,62.8845837822046,62.7275549144558,62.2802052330783,62.0830061898589,61.7999890444976,61.4037650409918,60.5802764438439,60.5711468585097,59.3331750871875,59.5668924717439,59.3696934285245,59.2692679898479,59.2364014826447,59.0811985319627,58.4676903975022,58.2650136030822,58.3581353734913,58.1262439060018,57.9217411945149,57.8578340971753,57.7829714974346,57.63507221502,57.5309949422097,57.4104844157978,57.324666313656,57.2479777968485,56.2930231708876,56.0008764401921,55.8182847335074,55.5553526758815,55.381890554531,55.1481731699746,54.9947961363595,54.8852411123487,54.773860171271,54.7044753227308,54.6442200595249,54.59492029872,54.2406923877517,54.1037486077382,53.9649789106579,54.2078258805485,54.0672302664013,53.9568345323741,53.8710148632363,53.7158090786254,53.5350399883139,53.438264616733,,
French Polynesia,,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,12.0218579234973,11.7486338797814,11.7486338797814,11.7486338797814,11.7486338797814,11.7486338797814,11.7486338797814,11.7486338797814,11.7486338797814,11.7486338797814,11.7486338797814,11.7486338797814,11.7486338797814,11.7486338797814,11.7486338797814,11.7486338797814,12.2950819672131,12.2950819672131,12.2950819672131,12.2950819672131,12.2950819672131,12.2950819672131,12.2950819672131,12.0218579234973,,
Gabon,,20.1614468118136,20.2196608064579,20.2778748011022,20.3360887957465,20.3943027903908,20.4525167850351,20.3166841308651,20.3748981255094,20.2390654713393,20.1032328171692,20.180851476695,20.0450188225249,19.9285908332363,19.9868048278806,20.0605425544301,20.0023285597858,20.0915900182404,20.1769705437187,19.9868048278806,19.9945666938332,19.9945666938332,19.9945666938332,19.9945666938332,19.9945666938332,19.9945666938332,19.9945666938332,19.9945666938332,19.9945666938332,19.9945666938332,20.0139713587146,20.0139713587146,20.0256141576435,20.0256141576435,20.0256141576435,20.0256141576435,20.0256141576435,20.0256141576435,20.0256141576435,20.0256141576435,20.0256141576435,20.0256141576435,20.0256141576435,20.0256141576435,19.9479954981178,19.9479954981178,19.9479954981178,19.9479954981178,19.9479954981178,19.9479954981178,,
Gambia,,52.1,52.2,52.3,52.4,52.5,52.6,52.8,52.8,53,53,53.3,53.8,54.3,57,56.4,56.3,57,57.7,56.6,55.9,58.1,60.2,58.3,56.9,61.9,62.7,63.4,64.9,63.1,63.7,64.6,61.2,61.1,63,64.4,64.9,66.4,64.5,67.5,68,71.7,62.5,62,64,63.5,64,63.5,65.5,66.5,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4671175708735,45.0136710318031,44.5675636782271,43.8624262483811,43.675348971075,43.7041300906605,43.8192545690027,43.157288818535,43.1716793783278,43.2148510577061,43.2292416174989,43.2580227370845,36.1490861994532,36.1922578788315,36.2354295582098,36.221038998417,36.3073823571737,36.0915239602821,,
Germany,,55.4950877896486,55.5466445163693,55.5724228797296,55.7328215850829,55.9505055423481,55.9419127545613,55.6010655056856,55.237304156045,55.1485120155816,54.4868673559992,54.283504711712,54.2749119239252,54.1259702689543,53.9082863116891,53.8252226964168,53.7278377681666,53.5874889009824,53.4442757712027,53.258098702489,53.0432790078194,52.8771517772749,52.6909747085613,52.501933377252,52.3701772978547,52.2556067940309,52.1524933405895,51.9147595451551,51.8345601924784,51.7171254260591,51.6483831237648,49.0820038381119,48.5521152579268,49.1578826764436,49.5774970639626,49.6791750214838,49.6634105817984,49.6404526572124,49.776517105037,49.1489483638031,48.9124516406362,48.8220120378332,48.6355558103537,48.7400017201342,48.7799982796686,48.8330083725198,48.5948612066988,48.6133019760805,48.5385652410865,48.4380826711798,,
Ghana,,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.4195306319768,51.8590137997715,51.8590137997715,52.2984969675661,52.7379801353608,52.7379801353608,52.7379801353608,52.7379801353608,53.6169464709502,53.6169464709502,54.0564296387448,54.4959128065395,54.4959128065395,54.4959128065395,54.9353959743342,54.9353959743342,55.3968533005186,55.9022589434825,55.9022589434825,56.2538454777182,56.6933286455129,57.5722949811022,58.4512613166916,59.8927661070581,61.6594884415927,62.3187131932847,63.4174211127714,63.7690076470071,64.3007822800387,65.1973279423398,66.3619583369957,66.3619583369957,67.240924672585,68.1198910081744,68.1198910081744,68.1198910081744,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,69.1233514352211,69.0612878200155,69.9844840961986,69.7517455391777,67.3235065942591,70.5197827773468,70.6982156710628,70.9309542280838,70.9387121799845,71.0240496508922,71.0240496508922,71.0628394103956,70.9309542280838,70.9154383242824,70.7370054305663,70.7137315748642,70.6904577191621,71.1792086889061,71.2257564003103,71.2179984484096,71.4197051978278,71.4197051978278,71.233514352211,71.4429790535299,71.2490302560124,71.2179984484096,71.1947245927075,71.2102404965089,71.489526764934,71.5438324282389,71.0938712179984,71.1171450737005,71.0628394103956,71.1404189294026,71.0938712179984,71.155934833204,69.7051978277735,68.1303335919317,67.2614429790535,66.1675717610551,65.9581070597362,65.5236617532971,35.5314197051978,64.7090768037238,30.8068269976726,64.1737781225756,36.3770364623739,63.8401861908456,63.6074476338247,,
Greenland,,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.687737781679836,0.572542331587282,0.572542331587282,0.572542331587282,0.572542331587282,0.572542331587282,0.572542331587282,0.572542331587282,0.572542331587282,0.572542331587282,0.572542331587282,0.572542331587282,0.572542331587282,0.572542331587282,,
Grenada,,64.7058823529412,64.7058823529412,64.7058823529412,64.7058823529412,64.7058823529412,64.7058823529412,64.7058823529412,64.7058823529412,64.7058823529412,64.7058823529412,64.7058823529412,58.8235294117647,58.8235294117647,58.8235294117647,58.8235294117647,58.8235294117647,58.8235294117647,55.8823529411765,55.8823529411765,47.0588235294118,47.0588235294118,47.0588235294118,47.0588235294118,47.0588235294118,41.1764705882353,41.1764705882353,38.2352941176471,38.2352941176471,38.2352941176471,38.2352941176471,35.2941176470588,35.2941176470588,35.2941176470588,35.2941176470588,35.2941176470588,35.2941176470588,35.2941176470588,35.2941176470588,35.2941176470588,35.2941176470588,38.2352941176471,38.2352941176471,38.2352941176471,38.2352941176471,38.2352941176471,38.2352941176471,38.2352941176471,35.2941176470588,35.2941176470588,,
Guam,,29.6296296296296,29.6296296296296,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,33.3333333333333,33.3333333333333,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,37.037037037037,35.1851851851852,35.1851851851852,35.1851851851852,,
